pais, ano, krause, valor, moeda, qualidade, material, diametro, detalhe, anverso, reverso, 
Coreia Do Norte, 1992, 41, 50, WON, FE, PAPEL, 143X69M, SERIE 6113204, 3 PESSOAS OLHANDO O MONUMENTO DE 5 ANOS, MONTANHAS E PINHEIROS, 
Coreia Do Norte, 2005, 48, 200, WON, FE, PAPEL, 139X73, SERIE 608777, , , 
Croacia, 1991, , 1, DINAR, FE, PAPEL, 150X54, SERIE E3367224, , , 
Croacia, 1991, , 5, DINAR, FE, PAPEL, , SERIE C5982736, , , 
Cuba, 2004, 127, 3, PESO, FE, PAPEL, 150X70MM, SERIE 455384, ERNESTO GUEVARA, CHE GUEVARA EM UM CAMPO DE CANA, 
Egito, 0, , 50, PIASTRE, FE, PAPEL, , , , , 
Egito, 1998, 188, 5, PIASTRE, FE, PAPEL, 95X58, MULHER, , , 
Egito, 1998, 189, 10, PIASTRE, FE, PAPEL, 117X57, ESFINGE, , , 
Egito, 2008, 57i, 25, PIASTRE, FE, PAPEL, 129X69MM, , , , 
Equador, 1982, 108, 5, SUCRE, B, PAPEL, 150x66, 8764104, ANTONIO JOSE DE SUCRE, , 
Eritreia, 1997, , 1, NAKFA, FE, PAPEL, 160X70MM, SERIE AP2605505, 3 MULHERES, VARIOS ALUNOS, 
Eslovenia, 1990, , 1, TOLAR, FE, PAPEL, 149X73, SERIE AD90405396, , , 
Estados Unidos, 1995, 496, 1, DOLAR, B, PAPEL, 156X66, B48373499N, , , 
Estados Unidos, 2003, 515, 1, DOLAR, FE, PAPEL, 150X66MM, SERIE J18575206A, WASHINGTON, PIRAMIDE COM OLHO, 
Estados Unidos, 2009, 532, 10, DOLAR, FE, PAPEL, 155X66, JK69033073A, , , 
Estados Unidos, 1903, , 3, DOLAR, MBC, PAPEL, , CHEQUE ANTIGO, , , 
Estonia, 1992, , 1, KROON, FE, PAPEL, 140X70, SERIE AB1613213, K RAUD, , 
Estonia, 1992, 70, 2, KROONI, FE, PAPEL, 140X70MM, SERIE AC0818060 MARCA DAGUA. FORTE, KE VON BAER, , 
Filipinas, 0, , 10, PESO, UTG, PAPEL, , COVERNO JAPONES 2 GUERRA, , , 
Filipinas, 1969, 145, 20, PISO, B, PAPEL, 160X66MM, SERIE WE780618, MANUEL L QUEZON, MALAKANYANG PALACE, 
Georgia, 1995, , 1, LARI, FE, PAPEL, 115X58, SERIE 202 2 009184, , , 
Grecia, 1939, , 1000, , B, PAPEL, , 090948, , , 
Guatemala, 1989, , 50 CENTAVO, QUETZAL, FE, PAPEL, 156X67, A2277956B, , TEMPLO I TIKAL, 
Guiana, 0, , 10, DOLAR, FE, PAPEL, , A25 813875, , , 
Guiana, 1992, , 1, DOLAR, FE, PAPEL, 156X65, SERIE B44 025938, CATARATAS, , 
Guine, 1998, , 100, FRANCO, FE, PAPEL, , SERIE KL110881, , , 
Hell, 0, , 10, DOLAR, B, PAPEL BAMBU, 146X64MM, YA4488, , , 
Hell, 0, , 2, DOLAR, B, PAPEL BAMBU, 135X62MM, YTS2616, , , 
Hell, 0, , 50, DOLAR, B, PAPEL BAMBU, 160X73MM, LX1246A, , , 
Hell, 0, , 100, DOLAR, B, PAPEL BAMBU, 160X72MM, LX1636, , , 
Iemen, 1995, , 20, RIAL, FE, PAPEL, 145X73, , , , 
Ilhas Cayman, 2011, 38, 1, DOLAR, FE, POLIMERO, 156X66, 77169, , , 
Indonesia, 1964, , 10 Seuluh, SEN, FE, PAPEL, 104X52MM, , , , 
Indonesia, 1986, 125, 5000, RUPIAH, B, PAPEL, 153X76MM, MTF 045702, TEUKU UMAR, MOSTEIRO DE MINARET OF KODUS, 
Indonesia, 2016, , 1000, RUPIAH, FE, PAPEL, 142X65MM, NAS847535, TJUT MEUTIA, BANDA NEIRA, 
Iran, 0, , 100, , FE, PAPEL, , 999097, , , 
Iran, 1992, 143, 1000, RIAL, FE, PAPEL, 149X73, , , , 
Iraque, 1995, 85, 250, DINAR, FE, PAPEL, 175x85, , SADDAN HUSSEIN, , 
Italia, 1990, 114, 1000, LIRA, B, PAPEL, 113X61MM, SERIE LD 409284V, M MONTESSORI, , 
Iugoslavia, 1968, 83, 50, DINARA, FE, PAPEL, 140X66MM, SERIE AD9841719, ALIVIO DE MESTROVIC, , 
Iugoslavia, 1968, 82, 10, DINARA, FE, PAPEL, 131X62MM, SERIE AB7567564, FERREIRO, , 
Iugoslavia, 1968, 82, 10, DINARA, FE, PAPEL, 131X62MM, SERIE AG7684085, FERREIRO, , 
Iugoslavia, 1985, 93, 5000, DINARA, B, PAPEL, 167X75MM, SERIE CS 2405117, JOSIP BROZ TITO, , 
Iugoslavia, 1993, , 500000000, DINARA, FE, PAPEL, 139X65, AA8254530, , , 
Iugoslavia, 1993, , 50000000, DINARA, SOB, PAPEL, 151X71, AA7476306, , , 
Japao, 2004, 104, 1000, YEN, SOB, PAPEL, 150X71, AJ618031X, , , 
Laos, 1979, 30, 100, KIP, SOB, PAPEL, 132X68MM, SERIE ND4393200, , , 
Libano, 1986, 62, 5, LIVRE, FE, PAPEL, 140x70, , PREDIOS, PONTE, 
Libano, 0, , 5, LIVRES, UTG, PAPEL, 139X70MM, , , , 
Libia, 2002, , 0.25, DINAR, FE, PAPEL, , 529638350, , , 
Macedonia, 1992, , 10, DENAR, FE, PAPEL, 145X77, SERIE 8945986, , , 
Madagascar, 2004, 0, 100, ARIARY, FE, PAPEL, 120X60MM, SERIE B8994928T, ILHA, , 
Malasia, 0, , 1, , FE, POLIMERO, , , , , 
Malawi, 2016, , 20, KWACHA, FE, PAPEL, , BF1997612, , , 
Mocambique, 1961, 0, 100, ESCUDO, FE, PAPEL, , C44961182, , , 
Moldova, 1999, , 1, LEU, FE, PAPEL, 114X58MM, 816813, , , 
Mongolia, 1955, , 1, TOGROG, FE, PAPEL, 146X81, SERIE 530769 A, , , 
Mongolia, 1993, 49, 10, MONGO, FE, PAPEL, 90X45, AA6999507, , , 
Mongolia, 1993, 51, 50, MONGO, FE, PAPEL, 90X45, AA5492905, , , 
Mongolia, 1993, 50, 20, MONGO, FE, PAPEL, 90X45, AA0979517, , , 
Mongolia, 1993, 52, 1, TUGRIK, FE, PAPEL, 115X57, AA0171906, , , 
Myanmar, 1996, 70, 5, KYAT, FE, PAPEL, 130X62, AZ1657112, , , 
Myanmar, 1996, 69, 1, KYAT, FE, PAPEL, 110X55, , , , 
Nepal, 1974, , 1, RUPEE, FE, PAPEL, 117X70, , , , 
Nepal, 1982, 32, 10, RUPEE, FE, PAPEL, 132X70MM, , REI BIREDRA BIR BIKRAM, ANTILOPES, 
Nicaragua, 1991, 167, 1 CENTAVO, CORDOBA, FE, PAPEL, 119x53, AC83322952, Francisco Hernandez De Cordoba, , 
Nicaragua, 1991, , 10 CENTAVO, CORDOBA, FE, PAPEL, 120X53MM, SERIE AE 7928215, , , 
Nicaragua, 1991, , 5 CENTAVO, CORDOBA, FE, PAPEL, 120X53, SERIE AB 8387335, FRANCISCO HERNANDEZ CORDOBA, FLOR, 
Nicaragua, 1991, , 25 CENTAVO, CORDOBA, FE, PAPEL, 129X53, SERIE AA 6230665, FRANCISCO HERNANDEZ CORDOBA, , 
Nigeria, 2009, , 10, NAIRA, FE, POLIMERO, 130X70MM, SERIE PP892069, , , 
Nigeria, 2018, , 5, NAIRA, FE, POLIMERO, 130X72MM, SERIE EB6717328, , NAIRA BLYAR, 
Oman, 1995, , 100, BAISA, FE, PAPEL, 121X64, SERIE, , AGUIA ANTILOPE, 
Paquistao, 1999, 37, 2, RUPIAH, FE, PAPEL, 108X60, SERIE TM3569151, , , 
Paraguai, 0, , 5, GUARANI, B, PAPEL, 157X66, A6831870, MULHER PARAGUAIA, , 
Peru, 0, , 100, INTIS, SOB, PAPEL, , A7519090V, RAMON , , 
Polonia, 1986, , 100, ZLOTYCH, FE, PAPEL, 138X64, SERIE SA6316180, , , 
Portugal, 1964, 167, 50, ESCUDO, B, PAPEL, 140X70, BTP77320, , IGREJA DE SANTO ANTONIO DE LISBOA, 
Qatar, 2003, 20, 1, RYAL, R, PAPEL, 135X65, NOTAQUASE SEPARADA EM DUAS PARTES, , PASSAROS, 
Qatar, 2003, 20, 1, RYAL, FE, PAPEL, 135X65MM, , , , 
Quenia, 1995, , 20, SHILLING, FE, PAPEL, 135X70, SERIE AG8113164, DANIEL TOROITICH, ESTADIO DE FUTEBOL, 
Quirquistao, 1993, 3, 50, TYIYN, FE, PAPEL, 90X70MM, SERIE 02590817, , , 
Quirquistao, 1993, , 1, TYIYN, FE, PAPEL, 90X70, 29CH 00514769, , , 
Quirquistao, 1993, , 1, TYIYN, FE, PAPEL, 90X70, SERIE 32OH 0136502, AGUIA, , 
Reino Unido, 0, , 10, NEW PENCE, FE, PAPEL, , , , , 
Reino Unido, 1972, , 10, NEW PENCE, FE, PAPEL, 127X64, DINHEIRO DAS FORCAS  ARMADAS BRITANICAS - SERIE 820873, , , 
Romenia, 1999, 111, 2000, LEI, FE, POLIMERO, 143X63, NOTA DE POLIESTIRENO ECLIPSE TOTAL SOLAR, , , 
Russia, 1909, , 10, RUBLO, B, PAPEL, , 187056, , , 
Russia, 1991, 237, 1, RUBLO, FE, PAPEL, 105X53, SERIE 1510719, , , 
Russia, 1993, 0, 100, RUBLO, FE, PAPEL, 130X57MM, SERIE 5027854, , , 
Russia, 1994, , 10, BILETOV, FE, PAPEL, 150X70, SERIE EB8169811, , , 
Russia, 1994, , 1, BILETOV, FE, PAPEL, 150X70MM, SERIE 8205902, , , 
Russia, 1997, , 10, RUBLO, FE, PAPEL, 151X65, 8949529, , , 
Russia, 1961, , 5, RUBLE, UTG, PAPEL, 112X52, SERIE OB5308508, , , 
Serbia, 2006, 47, 20, DINARA, FE, PAPEL, 135X64MM, SERIE AF5574523, PETAR II PETROVIC NJEGOS, , 
Siria, 1991, , 5, POUND, FE, PAPEL, 142X70, , , , 
Somalia, 1991, , 50, N SHILIN, FE, PAPEL, 140X70, SERIE AW2060494, , , 
Sri Lanka, 2006, 0, 10, RUPEE, FE, PAPEL, , M581 677278, , , 
Sudao, 1985, , 25, PIASTRE, FE, PAPEL, 120X60, A268 005285, , , 
Sudao, 1987, , 50, PIASTRE, FE, PAPEL, 127X64, SERIE B92 486569, , , 
Sudao, 2011, 73, 10, POUNDS SUDANESE, UTG, PAPEL, 155X69MM, DK 17328325, , , 
Suriname, 1980, 0, 100, GULDEN, FE, PAPEL, , E3288564, , , 
Tajiquistao, 1994, 1, 1, RUBLO, FE, PAPEL, 120X55MM, SERIE 0731917, , , 
Tajiquistao, 1999, , 5, DIRHAM, FE, PAPEL, , SERIE BB8125129, , , 
Transnistria, 1994, 17, 5, RUBLEI, FE, PAPEL, 125X58MM, 2920242, , , 
Transnistria, 1994, , 10, RUBLEI, FE, PAPEL, 125X58, SERIE AA 5371228, , , 
Transnistria, 2000, , 5, RUBLEI, SOB, PAPEL, , SERIE AC 9457291, , , 
Turquia, 1979, 192, 10, LIRA, B, PAPEL, 122X54MM, SERIE B09304062, , , 
Ucrania, 1991, 81, 1, KARBOVANTE, FE, PAPEL, 105X54, , , , 
Ucrania, 1991, 81, 1, KARBOVANTE, FE, PAPEL, 105X54, , , , 
Ucrania, 2014, , 1, HRYVNIA, FE, PAPEL, 118X61, Y1424946, , , 
Uganda, 2015, , 1000, SHILLING, FE, PAPEL, , CJ8226417, , , 
Uruguai, 1967, , 100, PESO, UTG, PAPEL, 153X67, SERIE 20380334, , , 
Uruguai, 1989, 94, 50, NUEVO PESO, FE, PAPEL, 159X75, SERIE 10809215, , , 
Uzbequistao, 1992, , 1, SOM, FE, PAPEL, 121X61, SERIE AA 86817952, , , 
Uzbequistao, 1999, 0, 500, SUM, , PAPEL, , SERIE LU3339407, , , 
Venezuela, 0, , 2, BOLIVAR, FE, PAPEL, , K5245627, , , 
Venezuela, 0, , 5, BOLIVAR, FE, PAPEL, , G50917751, , , 
Venezuela, 0, , 100, BOLIVAR, FE, PAPEL, , AL01154832, , , 
Venezuela, 1989, , 2, BOLIVAR, FE, PAPEL, 115X55, SERIE BR2477680, , , 
Venezuela, 1995, , 10, BOLIVAR, FE, PAPEL, 156X69MM, SERIE Q24315269, MARISCAL SUCRE, , 
Venezuela, 2011, 0, 50, BOLIVAR, FE, PAPEL, 156X69MM, SERIE M68927797, , , 
Venezuela, 2017, 95A, 1000, BOLIVAR, MBC, PAPEL, 152X69MM, SERIE C64885501, NEGRO PRIMERO, TATU, 
Venezuela, 2017, , 500, BOLIVAR, FE, PAPEL, 157X70MM, SERIE B60281246, FRANCISCO DE MIRANDA, TONINAS, 
Venezuela, 2017, 95A, 1000, BOLIVAR, SOB, PAPEL, 152X69MM, SERIE M05961140, NEGRO PRIMERO, TATU, 
Vietnam, 1987, 100, 200, DONG, FC, PAPEL, 130X65, IJ1009739, , , 
Vietnam, 1988, 107A, 2000, DONG, BC, PAPEL, 61X129MM, SERIE FE3820434, , , 
Zaire, 1993, , 5, NOUVEAUX MAKUTA, FE, PAPEL, 124X63, SERIE K2445799B, , , 
Zambia, 0, 0, 2, KWANCHA, FE, PAPEL, 133X70, SERIE B86 659015, , , 
Zambia, 1992, 36, 20, KWACHA, FE, PAPEL, 140x70, AD4555750, AGUIA, , 
Zimbabue, 2008, , 10000000, DOLAR, UTG, PAPEL, 167X74MM, SERIE AF7559939, , , 
