pais,ano,krause,valor,moeda,tipo,qualidade,material,diametro,detalhe,anverso,reverso,datacadastro; 
Alemanha,2002,209,5 CENTIMO,EURO,Moeda,,ACO REVESTIDO DE COBRE,18.8MM,A - BERLIM,FOLHAS DE CARVALHO,,15 de jun de 2018; 
Alemanha,2002,209,5 CENTIMO,EURO,Moeda,,ACO REVESTIDO DE COBRE,18.8MM,F - STUTTGART,FOLHAS DE CARVALHO,,15 de jun de 2018; 
Alemanha,2002,209,5 CENTIMO,EURO,Moeda,,ACO REVESTIDO DE COBRE,18.8MM,D,FOLHAS DE CARVALHO,,15 de jun de 2018; 
Alemanha,2002,209,5 CENTIMO,EURO,Moeda,BOA,COBRE LATAO,21.25MM,G Karlsruhe,,,15 de jun de 2018; 
Alemanha,2002,210,10 CENTIMO,EURO,Moeda,B,LATAO,19.75MM,D - MUNIQUE,10 CENT,PORTAO BRANDEMBURGO,2 de set de 2019; 
Alemanha,2003,211,20 CENTIMO,EURO,Moeda,,LATAO,22.2MM,G,PORTAO DE BRANDENBURG,,15 de jun de 2018; 
Alemanha,2004,207,1 CENTIMO,EURO,Moeda,,ACO REVESTIDO DE COBRE,16.25MM,G,,,15 de jun de 2018; 
Alemanha,2004,211,20 CENTIMO,EURO,Moeda,,LATAO,22.2MM,D,PORTAO DE BRANDENBURG,,15 de jun de 2018; 
Alemanha,2004,209,5 CENTIMO,EURO,Moeda,B,ACO COBRE,21.25MM,A - BERLIN,VALOR,,15 de jun de 2018; 
Alemanha,2004,209,5 CENTIMO,EURO,Moeda,B,ACO COBRE,21.25 MM,D MUNICH,,,13 de ago de 2018; 
Alemanha,2005,209,5 CENTIMO,EURO,Moeda,BOA,COBRE ACO,21.25MM,G Karlsruhe,,,15 de jun de 2018; 
Alemanha,2006,209,5 CENTIMO,EURO,Moeda,,COBRE NICKEL,21.25MM,,,,15 de jun de 2018; 
Alemanha,2008,207,1 CENTIMO,EURO,Moeda,,ACO REVESTIDO DE COBRE,16.25MM,D,,,15 de jun de 2018; 
Alemanha,2012,208,2 CENTIMO,EURO,Moeda,,ACO REVESTIDO DE COBRE,18.8MM,F - STUTTGART,FOLHAS DE CARVALHO,,15 de jun de 2018; 
Alemanha,2016,209,5 CENT,EURO,Moeda,SOB,ACO COBRE,21.25MM,F,VALOR,FOLHA CARVALHO,15 de jun de 2018; 
Alemanha,2017,208,2 CENT,EURO,Moeda,SOB,ACO COBRE,18.75MM,F,,,15 de jun de 2018; 
Alemanha,2017,254,10 CENT,EURO,Moeda,SOB,LATAO,19.75MM,F,,,15 de jun de 2018; 
Alemanha,2017,255,20 CENT,EURO,Moeda,FC,LATAO,22.25MM,F,,,15 de jun de 2018; 
Alemanha,2017,208,2 CENTIMO,EURO,Moeda,B,ACO COBRE,18.75 MM,F STUTTGART,,,13 de ago de 2018; 
Alemanha,2017,209,5 CENTIMO,EURO,Moeda,MBC,ACO COBRE,21.25MM,G - KARLSRUHE,5 CENT,FOLHA,29 de ago de 2019; 
Alemanha,1950,107,5 PFENNING,MARK,Moeda,MBC,ACO LATAO,18.5MM,J HAMBURGO,,,17 de mai de 2020; 
Alemanha,1950,108,10 PFENNING,MARK,Moeda,MBC,ACO LATAO,21.5MM,J HAMBURGO,,,17 de mai de 2020; 
Alemanha,1989,110,1,MARK,Moeda,MBC,CUPRO NIQUEL,23.5MM,G KARLSRUHE,,,17 de mai de 2020; 
Alemanha Terceiro Reich,1938,89,1,REICHSPFENNING,Moeda,SOB,BRONZE,17.5MM,MIEDA NAZISTA,VALOR,AGUIA SEGURANDO SUASTICA,15 de jun de 2018; 
Alemanha Terceiro Reich,1940,101,10 REICHPFENNIG,MARK,Moeda,,ZINCO,21MM,MOEDA NAZISTA EM ZINCO,AGUIA SEGURANDO SUASTICA,,15 de jun de 2018; 
Alemanha Terceiro Reich,1940,100,5,REICHSPFENNING,Moeda,MBC,ZINCO,19,MOEDA NAZISTA,VALOR,AGUIA SEGURANDO SUASTICA,15 de jun de 2018; 
Alemanha Terceiro Reich,1941,97,1,REICHPFENNING,Moeda,MBC,ZINCO,16.5MM,E - MULDENHUTTEN,VALOR,AGUIA COM SUASTICA,15 de jun de 2018; 
Alemanha Terceiro Reich,1943,101,10,REICHPFENNING,Moeda,MBC,ZINCO,21MM,A - BERLIN,VALOR,AGUIA COM SUASTICA,15 de jun de 2018; 
Alemanha Terceiro Reich,1944,97,1,REICHSPFENNING,Moeda,MBC,ZINCO,16.5MM,,VALOR,AGUIA SEGURANDO SUASTICA,15 de jun de 2018; 
Angola,1999,97,1,KWANZA,Moeda,,ACO NICKEL,21MM,MOEDA PRATA,FORCAS  ARMADAS,,15 de jun de 2018; 
Angola,2012,110,10,KWANZA,Moeda,B,BIMETALICA,27MM,,,,15 de jun de 2018; 
Angola,2012,109,5,KWANZA,Moeda,B,BIMETALICA,25MM,,,,15 de jun de 2018; 
Angola,2012,108,1,KWANZA,Moeda,B,NICKEL LATAO,22.1MM,MOEDA DOURADA,,,15 de jun de 2018; 
