pais,ano,krause,valor,moeda,tipo,qualidade,material,diametro,detalhe,anverso,reverso,datacadastro; 
Brasil,1926,526,2000,REIS,Moeda,,PRATA,26MM,,,ESFIGIE DA LIBERDADE,15 de jun de 2018; 
Brasil,1926,518,100,REIS,Moeda,B,COBRE NIQUEL,21.3MM,,,,13 de ago de 2018; 
Brasil,1927,525,1000,REIS,Moeda,,ALUMINIO BRONZE,26.8MM,,,MULHER AJOELHADA NA TERRA,15 de jun de 2018; 
Brasil,1927,520,400,REIS,Moeda,MBC,CUPRO NICKEL,30.2MM,,,,15 de jun de 2018; 
Brasil,1929,518,100,REIS,Moeda,,COBRE NICKEL,21.3MM,,,FIGURA FEMININA ,15 de jun de 2018; 
Brasil,1930,518,100,REIS,Moeda,,COBRE NICKEL,21.3MM,,,FIGURA FEMININA ,15 de jun de 2018; 
Brasil,1936,536,100,REIS,Moeda,,COBRE NICKEL,19MM,,ANCORA,TAMANDARE,15 de jun de 2018; 
Brasil,1936,537,200,REIS,Moeda,,COBRE NICKEL,23MM,,LOCOMOTIVA,BARAO DE MAUA,15 de jun de 2018; 
Brasil,1936,538,300,REIS,Moeda,,COBRE NICKEL,25.2MM,,ARPA,,15 de jun de 2018; 
Brasil,1936,539,400,REIS,Moeda,,COBRE NICKEL,28.1MM,,LAMPADA,OSVALDO CRUZ,15 de jun de 2018; 
Brasil,1936,540,500,REIS,Moeda,,ALUMINIO BRONZE,22.3MM,,,REGENTE FEIJO,15 de jun de 2018; 
Brasil,1936,541,1000,REIS,Moeda,,ALUMINIO BRONZE,24.3MM,,DANIFICADO - PADRE JOSE ANCHIETA,,15 de jun de 2018; 
Brasil,1936,543,5000,REIS,Moeda,SOB,PRATA,27.6MM,,SANTOS DUMONT,ASA SOBRE O VALOR,15 de jun de 2018; 
Brasil,1937,539,400,REIS,Moeda,,COBRE NICKEL,28.1MM,,LAMPADA,OSVALDO CRUZ,15 de jun de 2018; 
Brasil,1938,544,100,REIS,Moeda,,COBRE NICKEL,16.87MM,,,GETULIO VARGAS,15 de jun de 2018; 
Brasil,1938,536,100,REIS,Moeda,,COBRE NICKEL,19MM,,ANCORA,TAMANDARE,15 de jun de 2018; 
Brasil,1938,537,200,REIS,Moeda,,COBRE NICKEL,23MM,,LOCOMOTIVA,BARAO DE MAUA,15 de jun de 2018; 
Brasil,1938,538,300,REIS,Moeda,,COBRE NICKEL,25.2MM,,ARPA,,15 de jun de 2018; 
Brasil,1938,546,300,REIS,Moeda,,COBRE NICKEL,20.8MM,,,GETULIO REIS,15 de jun de 2018; 
Brasil,1938,547,400,REIS,Moeda,,COBRE NICKEL,23MM,,,GETULIO VARGAS,15 de jun de 2018; 
Brasil,1938,541,1000,REIS,Moeda,,ALUMINIO BRONZE,24.3MM,,PADRE JOSE ANCHIETA,,15 de jun de 2018; 
Brasil,1938,542,2000,REIS,Moeda,,ALUMINIO BRONZE,26MM,,,DUQUE DE CAXIAS,15 de jun de 2018; 
Brasil,1938,540,500,REIS,Moeda,MBC,LATAO,22.3MM,,VALOR,REGENTE FEIJO,15 de jun de 2018; 
Brasil,1938,539,400,REIS,Moeda,MBC,CUPRO NICKEL,28.1MM,,OSWALDO CRUZ,LAMPADA,15 de jun de 2018; 
Brasil,1939,550,1000,REIS,Moeda,,ALUMINIO BRONZE,24.3MM,,TOBIAS BARRETO,,15 de jun de 2018; 
Brasil,1939,551,2000,REIS,Moeda,,ALUMINIO BRONZE,26.3MM,,,FLORIANO PEIXOTO,15 de jun de 2018; 
Brasil,1939,549,500,REIS,Moeda,MBC,ALUMINIO BRONZE,22.3 MM,,,,13 de ago de 2018; 
Brasil,1940,544,100,REIS,Moeda,,COBRE NICKEL,16.87MM,,,GETULIO VARGAS,15 de jun de 2018; 
Brasil,1940,545,200,REIS,Moeda,,COBRE NICKEL,18.8MM,,,GETULIO VARGAS,15 de jun de 2018; 
Brasil,1940,546,300,REIS,Moeda,,COBRE NICKEL,20.8MM,,,GETULIO REIS,15 de jun de 2018; 
Brasil,1940,547,400,REIS,Moeda,,COBRE NICKEL,23MM,,,GETULIO VARGAS,15 de jun de 2018; 
Brasil,1942,545,200,REIS,Moeda,,COBRE NICKEL,18.8MM,,,GETULIO VARGAS,15 de jun de 2018; 
Brasil,1942,546,300,REIS,Moeda,,COBRE NICKEL,20.8MM,,,GETULIO REIS,15 de jun de 2018; 
Brasil,1943,557,50 CENTAVO,CRUZEIRO,Moeda,,COBRE NICKEL,21MM,,BUSTO DE GETULIO VARGAS,,15 de jun de 2018; 
Brasil,1944,555A.1,10 CENTAVO,CRUZEIRO,Moeda,,ALUMINIO BRONZE,17.2MM,COM SIGLA  APOS O BRASIL,,,15 de jun de 2018; 
Brasil,1944,557A,50 CENTAVO,CRUZEIRO,Moeda,,ALUMINIO BRONZE,21.3MM,COM SIGLA  APOS O BRASIL,BUSTO DE GETULIO VARGAS,,15 de jun de 2018; 
Brasil,1944,559,2,CRUZEIRO,Moeda,MBC,ALUMINIO BRONZE,25 MM,,,,13 de ago de 2018; 
Brasil,1944,556A,20 CENTAVO,CRUZEIRO,Moeda,B,ALUMINIO BRONZE,20MM,COM SIGLA  APOS O BRASIL,VALOR,GETULIO VARGAS,9 de jun de 2019; 
Brasil,1945,558,1,CRUZEIRO,Moeda,,ALUMINIO BRONZE,22.9MM,,FORCAS  ARMADAS,,15 de jun de 2018; 
Brasil,1945,559,2,CRUZEIRO,Moeda,,ALUMINIO BRONZE,25MM,,MAPA TOPOGRAFICO,,15 de jun de 2018; 
Brasil,1945,556A,20 CENTAVO,CRUZEIRO,Moeda,,ALUMINIO BRONZE,20MM,,GETULIO VARGAS,,15 de jun de 2018; 
Brasil,1945,557A,50 CENTAVO,CRUZEIRO,Moeda,,ALUMINIO BRONZE,21.3MM,,BUSTO DE GETULIO VARGAS,,15 de jun de 2018; 
Brasil,1945,555a,10 CENTAVO,REAL,Moeda,UTG,ALUMINIO BRONZE,17.22M,,,GETULIO VARGAS,15 de jun de 2018; 
Brasil,1946,558,1,CRUZEIRO,Moeda,,ALUMINIO BRONZE,22.9MM,,FORCAS  ARMADAS,,15 de jun de 2018; 
Brasil,1946,559,2,CRUZEIRO,Moeda,,ALUMINIO BRONZE,25MM,,MAPA TOPOGRAFICO,,15 de jun de 2018; 
Brasil,1946,556A,20 CENTAVO,CRUZEIRO,Moeda,,ALUMINIO BRONZE,20MM,,GETULIO VARGAS,,15 de jun de 2018; 
Brasil,1946,557A,50 CENTAVO,CRUZEIRO,Moeda,,ALUMINIO BRONZE,21.3MM,,BUSTO DE GETULIO VARGAS,,15 de jun de 2018; 
Brasil,1947,561,10 CENTAVO,CRUZEIRO,Moeda,MB ,ALUMINIO BRONZE,17.2MM,,JOSE BONIFACIO,VALOR,15 de jun de 2018; 
Brasil,1947,556A,20 CENTAVO,CRUZEIRO,Moeda,,ALUMINIO BRONZE,20MM,,GETULIO VARGAS,,15 de jun de 2018; 
Brasil,1947,557A,50 CENTAVO,CRUZEIRO,Moeda,,ALUMINIO BRONZE,21.3MM,,BUSTO DE GETULIO VARGAS,,15 de jun de 2018; 
Brasil,1947,559,2,CRUZEIRO,Moeda,BC,ALUMINIO BRONZE,25MM,,VALOR,MAPA BRASIL,2 de dez de 2018; 
Brasil,1948,562,20 CENTAVO,CRUZEIRO,Moeda,,ALUMINIO BRONZE,20MM,,GETULIO VARGAS,,15 de jun de 2018; 
Brasil,1948,563,50 CENTAVO,CRUZEIRO,Moeda,,ALUMINIO BRONZE,21.3MM,,GENERAL EURICO GASPAR DUTRA,,15 de jun de 2018; 
Brasil,1948,561,10 CENTAVO,CRUZEIRO,Moeda,FURADA,ALUMINIO BRONZE,17.3 MM,FURADA,,,13 de ago de 2018; 
Brasil,1949,559,2,CRUZEIRO,Moeda,,ALUMINIO BRONZE,25MM,,MAPA TOPOGRAFICO,,15 de jun de 2018; 
Brasil,1949,562,20 CENTAVO,CRUZEIRO,Moeda,,ALUMINIO BRONZE,20MM,,GETULIO VARGAS,,15 de jun de 2018; 
Brasil,1949,563,50 CENTAVO,CRUZEIRO,Moeda,,ALUMINIO BRONZE,21.3MM,,GENERAL EURICO GASPAR DUTRA,,15 de jun de 2018; 
Brasil,1949,561,10 CENTAVO,CRUZEIRO,Moeda,UTG,LATAO,17.3MM,,VALOR,JOSE BONIFACIO,15 de jun de 2018; 
Brasil,1950,558,1,CRUZEIRO,Moeda,,ALUMINIO BRONZE,22.9MM,,FORCAS  ARMADAS,,15 de jun de 2018; 
Brasil,1950,562,20 CENTAVO,CRUZEIRO,Moeda,,ALUMINIO BRONZE,20MM,,GETULIO VARGAS,,15 de jun de 2018; 
Brasil,1953,558,1,CRUZEIRO,Moeda,,ALUMINIO BRONZE,22.9MM,,FORCAS  ARMADAS,,15 de jun de 2018; 
Brasil,1953,563,50 CENTAVO,CRUZEIRO,Moeda,,ALUMINIO BRONZE,21.3MM,,GENERAL EURICO GASPAR DUTRA,,15 de jun de 2018; 
Brasil,1954,562,20 CENTAVO,CRUZEIRO,Moeda,,ALUMINIO BRONZE,20MM,,GETULIO VARGAS,,15 de jun de 2018; 
Brasil,1954,563,50 CENTAVO,CRUZEIRO,Moeda,,ALUMINIO BRONZE,21.3MM,,GENERAL EURICO GASPAR DUTRA,,15 de jun de 2018; 
Brasil,1955,558,1,CRUZEIRO,Moeda,,ALUMINIO BRONZE,22.9MM,,FORCAS  ARMADAS,,15 de jun de 2018; 
Brasil,1955,562,20 CENTAVO,CRUZEIRO,Moeda,,ALUMINIO BRONZE,20MM,,GETULIO VARGAS,,15 de jun de 2018; 
Brasil,1955,563,50 CENTAVO,CRUZEIRO,Moeda,,ALUMINIO BRONZE,21.3MM,,GENERAL EURICO GASPAR DUTRA,,15 de jun de 2018; 
Brasil,1956,563,50 CENTAVO,CRUZEIRO,Moeda,,ALUMINIO BRONZE,21.3MM,,GENERAL EURICO GASPAR DUTRA,,15 de jun de 2018; 
Brasil,1957,571,2,CRUZEIRO,Moeda,,ALUMINIO,25.26MM,,FORCAS  ARMADAS,,15 de jun de 2018; 
Brasil,1958,570,1,CRUZEIRO,Moeda,MB,ALUMINIO,23.23MM,,,,4 de out de 2018; 
Brasil,1959,570,1,CRUZEIRO,Moeda,,ALUMINIO,19.03MM,,FORCAS  ARMADAS,,15 de jun de 2018; 
Brasil,1959,571,2,CRUZEIRO,Moeda,B,ALUMINIO,25.26MM,,,,4 de out de 2018; 
Brasil,1960,571,2,CRUZEIRO,Moeda,,ALUMINIO,25.26MM,,FORCAS  ARMADAS,,15 de jun de 2018; 
Brasil,1960,570,1,CRUZEIRO,Moeda,B,ALUMINIO,23.23MM,,,,4 de out de 2018; 
Brasil,1960,569,20 CENTAVOS,CRUZEIRO,Moeda,B,ALUMINIO,21.07MM,,,,4 de out de 2018; 
Brasil,1961,571,2,CRUZEIRO,Moeda,B,ALUMINIO,25.26MM,,,,4 de out de 2018; 
Brasil,1961,570,1,CRUZEIRO,Moeda,MBC,ALUMINIO,23.23MM,,VALOR,BRASAO,16 de fev de 2019; 
Brasil,1965,573,20,CRUZEIRO,Moeda,,ALUMINIO,25MM,,,,15 de jun de 2018; 
Brasil,1965,574,50,CRUZEIRO,Moeda,,NICKEL,18MM,,EFIGIE DA REPUBLICA,,15 de jun de 2018; 
Brasil,1965,572,10,CRUZEIRO,Moeda,MB,ALUMINIO,23.5MM,,,,4 de out de 2018; 
Brasil,1967,578.1,10 CENTAVO,CRUZEIRO,Moeda,,COBRE NICKEL,23MM,,EFIGIE DA REPUBLICA,,15 de jun de 2018; 
Brasil,1967,579.1,20 CENTAVO,CRUZEIRO,Moeda,,COBRE NICKEL,25MM,,EFIGIE DA REPUBLICA,,15 de jun de 2018; 
Brasil,1967,577.1,5 CENTAVO,CRUZEIRO,Moeda,,ACO,21MM,,EFIGIE DA REPUBLICA,,15 de jun de 2018; 
Brasil,1967,580,50 CENTAVO,CRUZEIRO,Moeda,,NICKEL,27MM,,EFIGIE DA REPUBLICA,,15 de jun de 2018; 
Brasil,1967,576.1,2 CENTAVO,CRUZEIRO NOVO,Moeda,,ACO,19MM,,EFIGIE DA REPUBLICA,,15 de jun de 2018; 
Brasil,1967,575.1,1 CENTAVO,CRUZEIRO,Moeda,SOB,ACO INOX,17MM,,,,4 de out de 2018; 
Brasil,1969,577.2,5 CENTAVO,CRUZEIRO NOVO,Moeda,,ACO,21MM,,EFIGIE DA REPUBLICA,,15 de jun de 2018; 
Brasil,1969,576.2,2 CENTAVO,CRUZEIRO NOVO,Moeda,,ACO,19MM,,EFIGIE DA REPUBLICA,,15 de jun de 2018; 
Brasil,1969,575.2,1 CENTAVO,CRUZEIRO NOVO,Moeda,,ACO,17MM,,EFIGIE DA REPUBLICA,,15 de jun de 2018; 
Brasil,1970,581,1,CRUZEIRO,Moeda,,NICKEL,29MM,,EFIGIE DA REPUBLICA,,15 de jun de 2018; 
Brasil,1970,578.2,10 CENTAVO,CRUZEIRO,Moeda,,COBRE NICKEL,23MM,,EFIGIE DA REPUBLICA,,15 de jun de 2018; 
Brasil,1970,579.2,20 CENTAVO,CRUZEIRO,Moeda,,COBRE NICKEL,25MM,,EFIGIE DA REPUBLICA,,15 de jun de 2018; 
Brasil,1970,580A,50 CENTAVO,CRUZEIRO,Moeda,,COBRE NICKEL,27MM,,EFIGIE DA REPUBLICA,,15 de jun de 2018; 
Brasil,1972,582,1,CRUZEIRO,Moeda,,NICKEL,29MM,,ANIVERSARIO DE 150 DA INDEPENDENCIA,COMEMORATIVA MAPA DO BRASIL - D PEDRO I - PRESIDENTE MEDICE,15 de jun de 2018; 
Brasil,1974,581A,1,CRUZEIRO,Moeda,,COBRE NICKEL,28.8MM,,EFIGIE DA REPUBLICA,,15 de jun de 2018; 
Brasil,1974,578.1A,10 CENTAVO,CRUZEIRO,Moeda,,ACO,23MM,,EFIGIE DA REPUBLICA,,15 de jun de 2018; 
Brasil,1975,581A,1,CRUZEIRO,Moeda,,COBRE NICKEL,28.8MM,,EFIGIE DA REPUBLICA,,15 de jun de 2018; 
Brasil,1975,578.1A,10 CENTAVO,CRUZEIRO,Moeda,,ACO,23MM,,EFIGIE DA REPUBLICA,,15 de jun de 2018; 
Brasil,1975,579.1A,20 CENTAVO,CRUZEIRO,Moeda,,ACO,25MM,,EFIGIE DA REPUBLICA,,15 de jun de 2018; 
Brasil,1975,587.1,5 CENTAVO,CRUZEIRO,Moeda,,ACO,21MM,,BOI ZEBU - ALIMENTOS PARA O MUNDO,,15 de jun de 2018; 
Brasil,1975,580A,50 CENTAVO,CRUZEIRO,Moeda,,COBRE NICKEL,27MM,,EFIGIE DA REPUBLICA,,15 de jun de 2018; 
Brasil,1975,575.2,1 CENTAVO,CRUZEIRO,Moeda,SOB,ACO INOX,17 MM,,,,4 de out de 2018; 
Brasil,1975,576.2,2 CENTAVO,CRUZEIRO,Moeda,MBC,ACO INOX,19 MM,,,,4 de out de 2018; 
Brasil,1975,585,1 CENTAVO,CRUZEIRO,Moeda,MBC,ACO INOX,17 MM,FAO ACUCAR,VALOR ,FACE REPUBLICA,4 de out de 2018; 
Brasil,1975,586,2 CENTAVO,CRUZEIRO,Moeda,MBC,ACO INOX,19 MM,FAO SOJA,VALOR,,4 de out de 2018; 
Brasil,1976,581A,1,CRUZEIRO,Moeda,,COBRE NICKEL,28.8MM,,EFIGIE DA REPUBLICA,,15 de jun de 2018; 
Brasil,1976,578.1A,10 CENTAVO,CRUZEIRO,Moeda,,ACO,23MM,,EFIGIE DA REPUBLICA,,15 de jun de 2018; 
Brasil,1976,579.1A,20 CENTAVO,CRUZEIRO,Moeda,,ACO,25MM,,EFIGIE DA REPUBLICA,,15 de jun de 2018; 
Brasil,1976,587.1,5 CENTAVO,CRUZEIRO,Moeda,B,ACO,21MM,,BOI ZEBU - ALIMENTOS PARA O MUNDO,,15 de jun de 2018; 
Brasil,1976,580B,50 CENTAVO,CRUZEIRO,Moeda,,COBRE NICKEL,27MM,,EFIGIE DA REPUBLICA,,15 de jun de 2018; 
Brasil,1977,578.1A,10 CENTAVO,CRUZEIRO,Moeda,,ACO,23MM,,EFIGIE DA REPUBLICA,,15 de jun de 2018; 
Brasil,1977,579.1A,20 CENTAVO,CRUZEIRO,Moeda,,ACO,25MM,,EFIGIE DA REPUBLICA,,15 de jun de 2018; 
Brasil,1977,580B,50 CENTAVO,CRUZEIRO,Moeda,,COBRE NICKEL,27MM,,EFIGIE DA REPUBLICA,,15 de jun de 2018; 
Brasil,1977,587,5 CENTAVO,CRUZEIRO,Moeda,MBC,INOX,21MM,ALIMENTOS PARA O MUNDO,VALOR E BOI,EFIGIE DA LIBERDADE,15 de jun de 2018; 
Brasil,1978,578.1A,10 CENTAVO,CRUZEIRO,Moeda,,ACO,23MM,,EFIGIE DA REPUBLICA,,15 de jun de 2018; 
Brasil,1978,579.1A,20 CENTAVO,CRUZEIRO,Moeda,,ACO,25MM,,EFIGIE DA REPUBLICA,,15 de jun de 2018; 
Brasil,1978,580B,50 CENTAVO,CRUZEIRO,Moeda,,COBRE NICKEL,27MM,,EFIGIE DA REPUBLICA,,15 de jun de 2018; 
Brasil,1979,590,1,CRUZEIRO,Moeda,,ACO,20MM,,CANA DE ACUCAR - ALIMENTOS PARA O MUNDO,,15 de jun de 2018; 
Brasil,1979,580B,50 CENTAVO,CRUZEIRO,Moeda,,COBRE NICKEL,27MM,,EFIGIE DA REPUBLICA,,15 de jun de 2018; 
Brasil,1980,590,1,CRUZEIRO,Moeda,,ACO,20MM,,CANA DE ACUCAR - ALIMENTOS PARA O MUNDO,,15 de jun de 2018; 
Brasil,1980,591,5,CRUZEIRO,Moeda,,ACO,22MM,,ALIMENTOS PARA O MUNDO - CAFE,,15 de jun de 2018; 
Brasil,1980,592.1,10,CRUZEIRO,Moeda,,ACO,24MM,,PLANO DE INTEGRACAO RODOVIARIA DAS REGIOES,,15 de jun de 2018; 
Brasil,1981,590,1,CRUZEIRO,Moeda,,ACO,20MM,,CANA DE ACUCAR - ALIMENTOS PARA O MUNDO,,15 de jun de 2018; 
Brasil,1981,591,5,CRUZEIRO,Moeda,,ACO,22MM,,ALIMENTOS PARA O MUNDO - CAFE,,15 de jun de 2018; 
Brasil,1981,592.1,10,CRUZEIRO,Moeda,,ACO,24MM,,PLANO DE INTEGRACAO RODOVIARIA DAS REGIOES,,15 de jun de 2018; 
Brasil,1981,593,20,CRUZEIRO,Moeda,,ACO,26MM,,IGREJA DE SAO FRANCISCO DE ASSIS EM SAO JOAO DEL REI MG,,15 de jun de 2018; 
Brasil,1981,594.1,50,CRUZEIRO,Moeda,,ACO,28MM,,RISCO ORIGINAL DO PLANO PILOTO BRASILIA,,15 de jun de 2018; 
Brasil,1982,590,1,CRUZEIRO,Moeda,,ACO,20MM,,CANA DE ACUCAR - ALIMENTOS PARA O MUNDO,,15 de jun de 2018; 
Brasil,1982,591,5,CRUZEIRO,Moeda,,ACO,22MM,,ALIMENTOS PARA O MUNDO - CAFE,,15 de jun de 2018; 
Brasil,1982,592.1,10,CRUZEIRO,Moeda,,ACO,24MM,,PLANO DE INTEGRACAO RODOVIARIA DAS REGIOES,,15 de jun de 2018; 
Brasil,1982,593,20,CRUZEIRO,Moeda,,ACO,26MM,,IGREJA DE SAO FRANCISCO DE ASSIS EM SAO JOAO DEL REI MG,,15 de jun de 2018; 
Brasil,1982,594.1,50,CRUZEIRO,Moeda,,ACO,28MM,,RISCO ORIGINAL DO PLANO PILOTO BRASILIA,,15 de jun de 2018; 
Brasil,1983,591,5,CRUZEIRO,Moeda,,ACO,22MM,,ALIMENTOS PARA O MUNDO - CAFE,,15 de jun de 2018; 
Brasil,1983,592.1,10,CRUZEIRO,Moeda,,ACO,24MM,,PLANO DE INTEGRACAO RODOVIARIA DAS REGIOES,,15 de jun de 2018; 
Brasil,1983,593,20,CRUZEIRO,Moeda,,ACO,26MM,,IGREJA DE SAO FRANCISCO DE ASSIS EM SAO JOAO DEL REI MG,,15 de jun de 2018; 
Brasil,1983,594.1,50,CRUZEIRO,Moeda,,ACO,28MM,,RISCO ORIGINAL DO PLANO PILOTO BRASILIA,,15 de jun de 2018; 
Brasil,1984,591,5,CRUZEIRO,Moeda,,ACO,22MM,,ALIMENTOS PARA O MUNDO - CAFE,,15 de jun de 2018; 
Brasil,1984,592.1,10,CRUZEIRO,Moeda,,ACO,24MM,,PLANO DE INTEGRACAO RODOVIARIA DAS REGIOES,,15 de jun de 2018; 
Brasil,1984,593,20,CRUZEIRO,Moeda,,ACO,26MM,,IGREJA DE SAO FRANCISCO DE ASSIS EM SAO JOAO DEL REI MG,,15 de jun de 2018; 
Brasil,1984,594.1,50,CRUZEIRO,Moeda,,ACO,28MM,,RISCO ORIGINAL DO PLANO PILOTO BRASILIA,,15 de jun de 2018; 
Brasil,1985,592.2,10,CRUZEIRO,Moeda,,ACO,24MM,,PLANO DE INTEGRACAO RODOVIARIA DAS REGIOES,,15 de jun de 2018; 
Brasil,1985,593,20,CRUZEIRO,Moeda,,ACO,26MM,,IGREJA DE SAO FRANCISCO DE ASSIS EM SAO JOAO DEL REI MG,,15 de jun de 2018; 
Brasil,1985,594.2,50,CRUZEIRO,Moeda,,ACO,28MM,,RISCO ORIGINAL DO PLANO PILOTO BRASILIA,,15 de jun de 2018; 
Brasil,1985,595,100,CRUZEIRO,Moeda,,ACO,17MM,,FORCAS  ARMADAS,,15 de jun de 2018; 
Brasil,1985,596,200,CRUZEIRO,Moeda,,ACO,19MM,,FORCAS  ARMADAS,,15 de jun de 2018; 
Brasil,1985,597,500,CRUZEIRO,Moeda,,ACO,21MM,,FORCAS  ARMADAS,,15 de jun de 2018; 
Brasil,1986,605,1,CRUZADO,Moeda,,ACO,23MM,,FORCAS  ARMADAS,,15 de jun de 2018; 
Brasil,1986,606,5,CRUZADO,Moeda,,ACO,25MM,,FORCAS  ARMADAS,,15 de jun de 2018; 
Brasil,1986,604,50 CENTAVO,CRUZADO,Moeda,,ACO,21MM,,FORCAS  ARMADAS,,15 de jun de 2018; 
Brasil,1986,603,20 CENTAVO,CRUZADO,Moeda,,ACO,19MM,,FORCAS  ARMADAS,,15 de jun de 2018; 
Brasil,1986,595,100,CRUZEIRO,Moeda,,ACO,17MM,,FORCAS  ARMADAS,,15 de jun de 2018; 
Brasil,1986,596,200,CRUZEIRO,Moeda,,ACO,19MM,,FORCAS  ARMADAS,,15 de jun de 2018; 
Brasil,1986,597,500,CRUZEIRO,Moeda,,ACO,21MM,,FORCAS  ARMADAS,,15 de jun de 2018; 
Brasil,1986,592.2,10 CENTAVO,CRUZADO,Moeda,,ACO,24MM,,MAPA RODOVIARIO,,15 de jun de 2018; 
Brasil,1986,601,5 CENTAVO,CRUZADO,Moeda,MBC,ACO INOX,16 MM,,,,4 de out de 2018; 
Brasil,1986,593.2,20,CRUZEIRO,Moeda,SOB,ACO INOX,26 MM,,VALOR REDE,,4 de out de 2018; 
Brasil,1987,605,1,CRUZADO,Moeda,,ACO,23MM,,FORCAS  ARMADAS,,15 de jun de 2018; 
Brasil,1987,603,20 CENTAVO,CRUZADO,Moeda,,ACO,19MM,,FORCAS  ARMADAS,,15 de jun de 2018; 
Brasil,1987,602,10 CENTAVO,CRUZADO,Moeda,,ACO,17MM,,FORCAS  ARMADAS,,15 de jun de 2018; 
Brasil,1987,606,5,CRUZADO,Moeda,,ACO,25MM,,FORCAS  ARMADAS,,15 de jun de 2018; 
Brasil,1987,607,10,CRUZADO,Moeda,,ACO,27MM,,FORCAS  ARMADAS,,15 de jun de 2018; 
Brasil,1987,604,50 CENTAVO,CRUZADO,Moeda,,ACO,21MM,,FORCAS  ARMADAS,,15 de jun de 2018; 
Brasil,1988,607,10,CRUZADO,Moeda,,ACO,27MM,,FORCAS  ARMADAS,,15 de jun de 2018; 
Brasil,1988,605,1,CRUZADO,Moeda,,ACO,23MM,,FORCAS  ARMADAS,,15 de jun de 2018; 
Brasil,1988,606,5,CRUZADO,Moeda,,ACO,25MM,,FORCAS  ARMADAS,,15 de jun de 2018; 
Brasil,1988,604,50 CENTAVO,CRUZADO,Moeda,,ACO,21MM,,FORCAS  ARMADAS,,15 de jun de 2018; 
Brasil,1989,612,5 CENTAVO,CRUZADO NOVO,Moeda,,ACO,16.5MM,,JANGADEIRO,,15 de jun de 2018; 
Brasil,1989,613,10 CENTAVO,CRUZADO NOVO,Moeda,,ACO,18.5MM,,GARIMPEIRO,,15 de jun de 2018; 
Brasil,1989,615,1,CRUZADO NOVO,Moeda,,ACO,31MM,,,CENTENARIO DA REPUBLICA 1989,15 de jun de 2018; 
Brasil,1989,611,1 CENTAVO,CRUZEIRO,Moeda,,ACO,16.5MM,,,BOIADEIRO,15 de jun de 2018; 
Brasil,1989,614,50 CENTAVO,CRUZADO NOVO,Moeda,MBC,ACO INOX,19.5MM,,VALOR ,PESCADOR,4 de out de 2018; 
Brasil,1990,617,1,CRUZEIRO,Moeda,,ACO,20.5MM,,,BANDEIRA CRUZEIRO DO SUL,15 de jun de 2018; 
Brasil,1990,618,5,CRUZEIRO,Moeda,,ACO,21.5MM,,,SALINEIRO,15 de jun de 2018; 
Brasil,1990,619.1,10,CRUZEIRO,Moeda,,ACO,22.5MM,,,SERINGUEIRO,15 de jun de 2018; 
Brasil,1990,620,50,CRUZEIRO,Moeda,,ACO,23.5MM,,BAIANA,,15 de jun de 2018; 
Brasil,1991,618,5,CRUZEIRO,Moeda,,ACO,21.5MM,,,SALINEIRO CIRCULOU ATE 31.07.93,15 de jun de 2018; 
Brasil,1991,619.1,10,CRUZEIRO,Moeda,,ACO,22.5MM,,,SERINGUEIRO,15 de jun de 2018; 
Brasil,1991,620,50,CRUZEIRO,Moeda,,ACO,23.5MM,,BAIANA,,15 de jun de 2018; 
Brasil,1992,620,50,CRUZEIRO,Moeda,,ACO,23.5MM,,BAIANA,,15 de jun de 2018; 
Brasil,1992,623,100,CRUZEIRO,Moeda,,ACO,18MM,,PEIXE BOI,,15 de jun de 2018; 
Brasil,1992,624,500,CRUZEIRO,Moeda,,ACO,19MM,,TARTARUGA,,15 de jun de 2018; 
Brasil,1992,626,1000,CRUZEIRO,Moeda,,ACO,20MM,,PEIXE AGARA,,15 de jun de 2018; 
Brasil,1992,625,5000,CRUZEIRO,Moeda,,ACO,31MM,,CORDA AO REDOR DO VALOR,TIRADENTES LIBERDADE CIDADANIA,15 de jun de 2018; 
Brasil,1993,623,100,CRUZEIRO,Moeda,,ACO,18MM,,PEIXE BOI,,15 de jun de 2018; 
Brasil,1993,624,500,CRUZEIRO,Moeda,,ACO,19MM,,TARTARUGA,,15 de jun de 2018; 
Brasil,1993,626,1000,CRUZEIRO,Moeda,,ACO,20MM,,PEIXE AGARA,,15 de jun de 2018; 
Brasil,1993,628,10,CRUZEIRO REAL,Moeda,,ACO,22MM,,,TAMANDUA,15 de jun de 2018; 
Brasil,1993,627,5,CRUZEIRO REAL,Moeda,,ACO,21MM,,,ARARA,15 de jun de 2018; 
Brasil,1993,629,50,CRUZEIRO REAL,Moeda,,ACO,23MM,,,ONCA PINTADA,15 de jun de 2018; 
Brasil,1994,629,50,CRUZEIRO REAL,Moeda,,ACO,23MM,,,ONCA PINTADA,15 de jun de 2018; 
Brasil,1994,630,100,CRUZEIRO REAL,Moeda,,ACO,24MM,,,LOBO GUARA,15 de jun de 2018; 
Brasil,1994,628,10,CRUZEIRO REAL,Moeda,,ACO,22MM,,,TAMANDUA,15 de jun de 2018; 
Brasil,1994,636,1,REAL,Moeda,,ACO,24MM,,,,15 de jun de 2018; 
Brasil,1994,631,1 CENTAVO,REAL,Moeda,,ACO,20MM,,,,15 de jun de 2018; 
Brasil,1994,633,10 CENTAVO,REAL,Moeda,,ACO,22MM,,,,15 de jun de 2018; 
