pais, ano, krause, valor, moeda, qualidade, material, diametro, valor_venda
Alemanha, 2004, KM# 207, 1, CENTIMO DE EURO,  , ACO COM REVESTIMENTO DE COBRE, 16.25MM, 0.13; 
Alemanha, 2004, KM# 211, 20, CENTIMOS DE EURO,  , OURO NORDICO, 22.25MM, 1.35; 
Alemanha, 2003, KM# 211, 20, CENTIMOS DE EURO,  , OURO NORDICO, 22.25MM, 1.35; 
Alemanha, 1996, KM# 107, 5, PFENNIG,  , ACO COM REVESTIMENTO DE LATAO, 18.5MM, 1.21; 
Alemanha, 1996, KM# 108, 10, PFENNIG,  , ACO COM REVESTIMENTO DE LATAO, 21.5MM, 1.28; 
Alemanha, 1991, KM# 107, 5, PFENNIG,  , ACO COM REVESTIMENTO DE LATAO, 18.5MM, 1.01; 
Alemanha, 1990, KM# 107, 5, PFENNIG,  , ACO COM REVESTIMENTO DE LATAO, 18.5MM, 1.15; 
Alemanha, 1986, KM# 107, 5, PFENNIG,  , ACO COM REVESTIMENTO DE LATAO, 18.5MM, 0.67; 
Alemanha, 1983, KM# 107, 5, PFENNIG,  , ACO COM REVESTIMENTO DE LATAO, 18.5MM, 0.74; 
Alemanha, 1983, KM# 105, 1, PFENNIG,  , ACO COM REVESTIMENTO DE COBRE, 16.5MM, 0.88; 
Alemanha, 1981, KM# 105, 1, PFENNIG,  , ACO COM REVESTIMENTO DE COBRE, 16.5MM, 0.81; 
Alemanha, 1979, KM# 108, 10, PFENNIG,  , ACO COM REVESTIMENTO DE LATAO, 21.5MM, 1.62; 
Alemanha, 1976, KM# 110, 1, MARCO,  , CUPRO-NIQUEL, 23.5MM, 2.36; 
Alemanha, 1974, KM# 109, 50, PFENNIG,  , CUPRO-NIQUEL, 20MM, 1.42; 
Alemanha, 1972, KM# 105, 1, PFENNIG,  , ACO COM REVESTIMENTO DE COBRE, 16.5MM, 0.94; 
Alemanha, 1971, KM# 109, 50, PFENNIG,  , CUPRO-NIQUEL, 20MM, 2.16; 
Alemanha, 1966, KM# 107, 5, PFENNIG,  , ACO COM REVESTIMENTO DE LATAO, 18.5MM, 1.01; 
Alemanha, 1950, KM# 107, 5, PFENNIG,  , ACO COM REVESTIMENTO DE LATAO, 18.5MM, 0.67; 
Alemanha, 1949, KM# 103, 10, PFENNIG,  , ACO COM REVESTIMENTO DE LATAO, 21.5MM, 1.08; 
Alemanha - terceiro reich, 1941, KM# 97, 1, REICHSPFENNIG,  , ZINCO, 16.5MM, 4.45; 
Alemanha - terceiro reich, 1943, KM# 101, 10, REICHSPFENNIG,  , ZINCO, 21MM, 6.54; 
Alemanha - terceiro reich, 1944, KM# 97, 1, REICHSPFENNIG,  , ZINCO, 16.5MM, 8.09; 
Alemanha - terceiro reich, 1940, KM# 100, 5, REICHSPFENNIG,  , ZINCO, 19MM, 7.01; 
Alemanha - terceiro reich, 1938, KM# 89, 1, REICHSPFENNIG,  , BRONZE, 17.5MM, 9.1; 
Alemanha - terceiro reich, 1940, KM# 101, 10, REICHSPFENNIG,  , ZINCO, 21MM, 6.27; 
Angola, 2014, KM# 111, 20, KWANZAS,  , BI-METALICA: CENTRO ACO INOX - ANEL ACO COBREADO, 28MM, 22.31; 
Angola, 2012, KM# 110, 10, KWANZAS,  , BIMETALICA: CENTRO DE NIQUEL-LATAO ANEL DE CUPRO-NIQUEL, 27MM, 11.79; 
Angola, 2012, KM# 109, 5, KWANZAS,  , BIMETALICA: CENTRO DE CUPRO-NIQUEL ANEL DE NIQUEL-LATAO, 25MM, 12.06; 
Angola, 2012, KM# 108, 1, KWANZA,  , NIQUEL-LATAO, 22.1MM, 9.03; 
Angola, 2012, KM# 107, 50, CENTIMOS,  , ACO COM REVESTIMENTO DE CUPRO-NIQUEL, 20.6MM, 5.93; 
Angola, 1999, KM# 97, 1, KWANZA,  , ACO COM REVESTIMENTO DE NIQUEL, 21MM, 7.35; 
Antilhas holandesas, 2001, KM# 32, 1, CENTIMO,  , ALUMINIO, 14MM, 2.29; 
Antilhas holandesas, 1974, KM# 9, 2, 1/2 CENTIMOS,  , BRONZE, 22MM, 2.43; 
Arabia saudita, 1987, KM# 64, 50, HALALAS,  , CUPRO-NIQUEL, 26MM, 3.91; 
Argentina, 1942, KM# 35, 10, CENTAVOS,  , CUPRO-NIQUEL, 19.3MM, 8.22; 
Argentina, 1990, KM# 105, 1000, AUSTRALES,  , ALUMINIO, 24.1MM, 16.18; 
Argentina, 2010, KM# 156, 1, PESO,  , BIMETALICA: CENTRO DE ALUMINIO-BRONZE  ANEL DE CUPRO-NIQUEL, 23MM, 6.94; 
Argentina, 1994, KM# 110A, 25, CENTAVOS,  , CUPRO-NIQUEL, 24.2MM, 2.43; 
Argentina, 2009, KM# 110.1, 25, CENTAVOS,  , ALUMINIO-BRONZE, 24.2MM, 1.95; 
Argentina, 2009, KM# 109B, 5, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 17.2MM, 0.94; 
Argentina, 1985, KM# 92, 5, PESOS,  , LATAO, 19.5MM, 5.05; 
Argentina, 1975, KM# 68, 50, CENTAVOS,  , LATAO, 21MM, 3.44; 
Argentina, 1945, KM# 40, 5, CENTAVOS,  , ALUMINIO-BRONZE, 17MM, 3.03; 
Argentina, 1952, KM# 48, 20, CENTAVOS,  , CUPRO-NIQUEL, 21.3MM, 2.16; 
Argentina, 1943, KM# 42, 20, CENTAVOS,  , ALUMINIO-BRONZE, 21.2MM, 3.03; 
Argentina, 1960, KM# 58, 1, PESO,  , ACO COM REVESTIMENTO DE NIQUEL, 25.9MM, 9.1; 
Argentina, 2010, KM# 110.1, 25, CENTAVOS,  , ALUMINIO-BRONZE, 24.2MM, 2.76; 
Argentina, 1957, KM# 57, 1, PESO,  , ACO COM REVESTIMENTO DE NIQUEL, 25.5MM, 2.02; 
Argentina, 1939, KM# 35, 10, CENTAVOS,  , CUPRO-NIQUEL, 19.3MM, 10.04; 
Argentina, 1954, KM# 50, 5, CENTAVOS,  , ACO COM REVESTIMENTO DE CUPRO-NIQUEL, 17MM, 2.29; 
Argentina, 2009, KM# 112, 1, PESO,  , BIMETALICA: CENTRO DE ALUMINIO-BRONZE ANEL DE CUPRO-NIQUEL, 23MM, ; 
Argentina, 1992, KM# 107, 10, CENTAVOS,  , ALUMINIO-BRONZE, 18.2MM, 1.08; 
Argentina, 1924, KM# 35, 10, CENTAVOS,  , CUPRO-NIQUEL, 19.3MM, 8.49; 
Argentina, 1958, KM# 55, 20, CENTAVOS,  , ACO COM REVESTIMENTO DE NIQUEL, 21MM, 16.72; 
Argentina, 1952, KM# 46, 5, CENTAVOS,  , CUPRO-NIQUEL, 17MM, 3.1; 
Argentina, 1930, KM# 34, 5, CENTAVOS,  , CUPRO-NIQUEL, 17.3MM, 9.23; 
Argentina, 2007, KM# 109B, 5, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 17.2MM, 1.21; 
Argentina, 1953, KM# 46A, 5, CENTAVOS,  , ACO COM REVESTIMENTO DE CUPRO-NIQUEL, 17MM, 2.36; 
Argentina, 1954, KM# 51, 10, CENTAVOS,  , ACO COM REVESTIMENTO DE NIQUEL, 19MM, 2.7; 
Argentina, 1948, KM# 42, 20, CENTAVOS,  , ALUMINIO-BRONZE, 21.2MM, 3.84; 
Argentina, 2005, KM# 107, 10, CENTAVOS,  , ALUMINIO-BRONZE, 18.2MM, 0.81; 
Argentina, 1891, KM# 33, 2, CENTAVOS,  , BRONZE, 30MM, 13.75; 
Argentina, 1962, KM# 60, 10, PESOS,  , ACO COM REVESTIMENTO DE NIQUEL, 23.6MM, 2.76; 
Argentina, 1963, KM# 60, 10, PESOS,  , ACO COM REVESTIMENTO DE NIQUEL, 23.6MM, 1.75; 
Argentina, 1975, KM# 69, 1, PESO,  , ALUMINIO-BRONZE, 22.3MM, 1.48; 
Argentina, 1977, KM# 74, 10, PESOS,  , ALUMINIO-BRONZE, 25.3MM, 4.45; 
Argentina, 1978, KM# 82, 100, PESOS,  , ALUMINIO-BRONZE, 27.2MM, 4.79; 
Argentina, 1977, KM# 72, 10, PESOS,  , ALUMINIO-BRONZE, 25.3MM, 3.1; 
Argentina, 1979, KM# 85, 100, PESOS,  , ALUMINIO-BRONZE, 27.2MM, 5.05; 
Argentina, 1987, KM# 99, 50, CENTAVOS,  , LATAO, 24.2MM, 2.97; 
Argentina, 1992, KM# 110.1, 25, CENTAVOS,  , ALUMINIO-BRONZE, 24.2MM, 1.89; 
Argentina, 1994, KM# 111, 50, CENTAVOS,  , ALUMINIO-BRONZE, 25.2MM, 1.95; 
Argentina, 1971, KM# 66, 10, CENTAVOS,  , LATAO, 16.5MM, 1.82; 
Argentina, 1994, KM# 107, 10, CENTAVOS,  , ALUMINIO-BRONZE, 18.2MM, 0.94; 
Argentina, 2004, KM# 107, 10, CENTAVOS,  , ALUMINIO-BRONZE, 18.2MM, 1.15; 
Argentina, 2006, KM# 107, 10, CENTAVOS,  , ALUMINIO-BRONZE, 18.2MM, 0.94; 
Argentina, 2007, KM# 107A, 10, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 18.2MM, 1.15; 
Argentina, 2008, KM# 107A, 10, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 18.2MM, 1.55; 
Argentina, 2009, KM# 111, 50, CENTAVOS,  , ALUMINIO-BRONZE, 25.2MM, 2.97; 
Argentina, 2011, KM# 107A, 10, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 18.2MM, 2.56; 
Argentina, 2010, KM# 165, 2, PESOS,  , BIMETALICA: CENTRO DE CUPRO-NIQUEL ANEL DE ALUMINIO-BRONZE, 24.5MM, 6.34; 
Argentina, 2010, KM# 112, 1, PESO,  , BIMETALICA: CENTRO DE ALUMINIO-BRONZE ANEL DE CUPRO-NIQUEL, 23MM, 3.37; 
Argentina, 2010, KM# 159, 1, PESO,  , BIMETALICA: CENTRO DE ALUMINIO-BRONZE ANEL DE CUPRO-NIQUEL, 23MM, 6.74; 
Armenia, 1994, KM# 54, 1, DRAM,  , ALUMINIO, 22MM, 2.56; 
Armenia, 2003, KM# 95, 100, DRAMES,  , ACO COM REVESTIMENTO DE NIQUEL, 22.5MM, 3.17; 
Aruba, 1990, KM# 2, 10, CENTIMOS,  , ACO COM REVESTIMENTO DE NIQUEL, 18MM, 2.56; 
Australia, 2004, KM# 406, 2, DOLARES,  , ALUMINIO-BRONZE, 20.5MM, 10.31; 
Australia, 2006, KM# 406, 2, DOLARES,  , ALUMINIO-BRONZE, 20.5MM, 14.63; 
Australia, 1983, KM# 65, 10, CENTIMOS,  , CUPRO-NIQUEL, 23.6MM, 3.24; 
Australia, 2006, KM# 401, 5, CENTIMOS,  , CUPRO-NIQUEL, 19.4MM, 2.43; 
Australia, 2009, KM# 406, 2, DOLARES,  , ALUMINIO-BRONZE, 20.5MM, 9.91; 
Australia, 1989, KM# 79, 2, CENTIMOS,  , BRONZE, 21.6MM, 1.55; 
Australia, 1978, KM# 63, 2, CENTIMOS,  , BRONZE, 21.6MM, 1.75; 
Austria, 2012, KM# 3084, 5, CENTIMOS DE EURO,  , ACO COM REVESTIMENTO DE COBRE, 21.25MM, 0.4; 
Austria, 2005, KM# 3084, 5, CENTIMOS DE EURO,  , ACO COM REVESTIMENTO DE COBRE, 21.25MM, 0.34; 
Austria, 1976, KM# 2918, 10, SCHILLING,  , CUPRO-NIQUEL, 25.8MM, 5.19; 
Austria, 2002, KM# 3085, 10, CENTIMOS DE EURO,  , OURO NORDICO, 19.75MM, 0.67; 
Austria, 1981, KM# 2878, 10, GROSCHEN,  , ALUMINIO, 20MM, 0.81; 
Austria, 2007, KM# 3084, 5, CENTIMOS DE EURO,  , ACO COM REVESTIMENTO DE COBRE, 21.25MM, 0.34; 
Austria, 1992, KM# 2886, 1, SCHILLING,  , ALUMINIO-BRONZE, 22.5MM, 1.75; 
Bahamas, 2006, KM# 218.1, 1, CENTIMO,  , ZINCO COM REVESTIMENTO DE COBRE, 19MM, 2.16; 
Bahamas, 2015, KM# 218.3, 1, CENTIMO,  , ACO COM REVESTIMENTO DE COBRE, 17MM, 1.62; 
Bahamas, 1979, KM# 63.1, 25, CENTIMOS,  , NIQUEL, 24.26MM, ; 
Bahrain, 1992, KM# 16, 5, FILS,  , LATAO, 19MM, 3.03; 
Bangladesh, 1974, KM# 5, 1, POISHA,  , ALUMINIO, 15.91MM, 3.5; 
Belgica, 1958, KM# 143, 1, FRANCO,  , CUPRO-NIQUEL, 21MM, 0.61; 
Belgica, 2004, KM# 226, 5, CENTIMOS DE EURO,  , ACO COM REVESTIMENTO DE COBRE, 21.25MM, 0.34; 
Belgica, 1913, KM# 69, 25, CENTIMOS,  , CUPRO-NIQUEL, 26MM, 7.48; 
Belgica, 1977, KM# 142, 1, FRANCO,  , CUPRO-NIQUEL, 21MM, 0.88; 
Belgica, 1950, KM# 134, 5, FRANCOS,  , CUPRO-NIQUEL, 24MM, 1.89; 
Belgica, 1951, KM# 142, 1, FRANCO,  , CUPRO-NIQUEL, 21MM, 1.01; 
Belgica, 1966, KM# 154, 25, CENTIMOS,  , CUPRO-NIQUEL, 16MM, ; 
Belgica, 1986, KM# 163, 5, FRANCOS,  , ALUMINIO-BRONZE, 24MM, 0.74; 
Belgica, 2007, KM# 225, 2, CENTIMOS DE EURO,  , ACO COM REVESTIMENTO DE COBRE, 18.75MM, 0.13; 
Belgica, 2000, KM# 228, 20, CENTIMOS DE EURO,  , OURO NORDICO, 22.25MM, 1.35; 
Belgica, 1991, KM# 170, 1, FRANCO,  , ACO INOXIDAVEL, 18MM, 1.21; 
Belgica, 1999, KM# 226, 5, CENTIMOS DE EURO,  , ACO COM REVESTIMENTO DE COBRE, 21.25MM, 0.34; 
Belgica, 2010, KM# 299, 20, CENTIMOS DE EURO,  , OURO NORDICO, 22.25MM, 1.35; 
Belgica, 1999, KM# 227, 10, CENTIMOS DE EURO,  , OURO NORDICO, 19.75MM, 0.67; 
Belgica, 1981, KM# 160, 20, FRANCOS,  , NIQUEL-BRONZE, 25.6MM, 1.35; 
Bermudas, 1983, KM# 17, 10, CENTIMOS,  , CUPRO-NIQUEL, 17.8MM, 2.56; 
Bolivia, 1968, KM# 192, 1, PESO,  , ACO COM REVESTIMENTO DE NIQUEL, 27MM, 5.93; 
Bolivia, 1973, KM# 189, 20, CENTAVOS,  , ACO COM REVESTIMENTO DE NIQUEL, 22MM, 15.64; 
Bolivia, 1978, KM# 197, 5, PESOS,  , ACO COM REVESTIMENTO DE NIQUEL, 30MM, 27.9; 
Bolivia, 1987, KM# 204, 50, CENTAVOS,  , ACO INOXIDAVEL, 24MM, 3.1; 
Bolivia, 1991, KM# 205, 1, BOLIVIANO,  , ACO INOXIDAVEL, 27MM, 3.57; 
Brasil, 2020, KM# 652A, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL  ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 2.9; 
Brasil, 2020, KM# 651A, 50, CENTAVOS,  , ACO INOXIDAVEL, 23MM, 1.28; 
Brasil, 2020, KM# 648, 5, CENTAVOS,  , ACO COM REVESTIMENTO DE COBRE, 21.9MM, 1.48; 
Brasil, 2020, KM# 650, 25, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 25MM, 2.09; 
Brasil, 2020, KM# 649.2, 10, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 20MM, 1.55; 
Brasil, 1943, KM# 555A, 10, CENTAVOS,  , ALUMINIO-BRONZE, 17.22MM, 6.81; 
Brasil, 1956, KM# 564, 10, CENTAVOS,  , ALUMINIO, 17.3MM, 6.27; 
Brasil, 1958, KM# 569, 50, CENTAVOS,  , ALUMINIO, 21.07MM, 14.49; 
Brasil, 2019, KM# 651A, 50, CENTAVOS,  , ACO INOXIDAVEL, 23MM, 2.16; 
Brasil, 2019, KM# 648, 5, CENTAVOS,  , ACO COM REVESTIMENTO DE COBRE, 21.9MM, 2.29; 
Brasil, 1931, KM# 519, 200, REIS,  , CUPRO-NIQUEL, 25MM, 14.83; 
Brasil, 1931, KM# 518, 100, REIS,  , CUPRO-NIQUEL, 21.3MM, 10.24; 
Brasil, 2019, KM# 648, 5, CENTAVOS,  , ACO COM REVESTIMENTO DE COBRE, 21.9MM, ; 
Brasil, 2019, KM# 651A, 50, CENTAVOS,  , ACO INOXIDAVEL, 23MM, ; 
Brasil, 2019, UC# 100, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 7.68; 
Brasil, 2019, KM# 650, 25, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 25MM, 2.22; 
Brasil, 2019, KM# 649.2, 10, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 20MM, 0.4; 
Brasil, 2019, KM# 652A, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 1.08; 
Brasil, 1947, KM# 561, 10, CENTAVOS,  , ALUMINIO-BRONZE, 17.3MM, 6.74; 
Brasil, 1944, KM# 556A, 20, CENTAVOS,  , ALUMINIO-BRONZE, 20MM, ; 
Brasil, 1961, KM# 570, 1, CRUZEIRO,  , ALUMINIO, 23.23MM, 5.73; 
Brasil, 1947, KM# 559, 2, CRUZEIROS,  , ALUMINIO-BRONZE, 25MM, 5.32; 
Brasil, 1994, KM# 627, 5, CRUZEIROS REAIS,  , ACO INOXIDAVEL, 21MM, 5.86; 
Brasil, 1989, KM# 614, 50, CENTAVOS,  , ACO INOXIDAVEL, 19.5MM, 2.29; 
Brasil, 1986, KM# 601, 5, CENTAVOS,  , ACO INOXIDAVEL, 16MM, 2.9; 
Brasil, 1960, KM# 569, 50, CENTAVOS,  , ALUMINIO, 21.07MM, 6.4; 
Brasil, 1958, KM# 570, 1, CRUZEIRO,  , ALUMINIO, 23.23MM, 7.01; 
Brasil, 1960, KM# 570, 1, CRUZEIRO,  , ALUMINIO, 23.23MM, 3.1; 
Brasil, 1959, KM# 571, 2, CRUZEIROS,  , ALUMINIO, 25.26MM, 5.73; 
Brasil, 1961, KM# 571, 2, CRUZEIROS,  , ALUMINIO, 25.26MM, 3.98; 
Brasil, 1965, KM# 572, 10, CRUZEIROS,  , ALUMINIO, 23.5MM, 6.34; 
Brasil, 1975, KM# 575.2, 1, CENTAVO,  , ACO INOXIDAVEL, 17MM, 3.37; 
Brasil, 1975, KM# 585, 1, CENTAVO,  , ACO INOXIDAVEL, 17MM, 3.98; 
Brasil, 1975, KM# 576.2, 2, CENTAVOS,  , ACO INOXIDAVEL, 19MM, 5.39; 
Brasil, 1975, KM# 586, 2, CENTAVOS,  , ACO INOXIDAVEL, 19MM, 4.04; 
Brasil, 1986, KM# 593.2, 20, CRUZEIROS,  , ACO INOXIDAVEL, 26MM, 5.46; 
Brasil, 1889, KM# 493, 200, REIS,  , CUPRO-NIQUEL, 32.1MM, 28.98; 
Brasil, 1922, KM# 521, 500, REIS,  , ALUMINIO-BRONZE, 22.7MM, 9.77; 
Brasil, 1922, KM# 522, 1000, REIS,  , ALUMINIO-BRONZE, 26.8MM, 12.74; 
Brasil, 1967, KM# 575.1, 1, CENTAVO,  , ACO INOXIDAVEL, 17MM, 2.36; 
Brasil, 2018, KM# 649.2, 10, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 20MM, 1.62; 
Brasil, 1972, KM# 582, 1, CRUZEIRO,  , NIQUEL, 29MM, 7.55; 
Brasil, 2018, KM# 650, 25, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 25MM, 4.58; 
Brasil, 2018, KM# 651A, 50, CENTAVOS,  , ACO INOXIDAVEL, 23MM, 3.98; 
Brasil, 2018, KM# 648, 5, CENTAVOS,  , ACO COM REVESTIMENTO DE COBRE, 21.9MM, 2.16; 
Brasil, 2018, KM# 652A, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 1.08; 
Brasil, 1948, KM# 561, 10, CENTAVOS,  , ALUMINIO-BRONZE, 17.3MM, 1.89; 
Brasil, 1944, KM# 559, 2, CRUZEIROS,  , ALUMINIO-BRONZE, 25MM, ; 
Brasil, 1939, KM# 549, 500, REIS,  , ALUMINIO-BRONZE, 22.3MM, 13.48; 
Brasil, 1926, KM# 518, 100, REIS,  , CUPRO-NIQUEL, 21.3MM, 12.54; 
Brasil, 1897, KM# 493, 200, REIS,  , CUPRO-NIQUEL, 32.1MM, 48.26; 
Brasil, 2017, KM# 651A, 50, CENTAVOS,  , ACO INOXIDAVEL, 23MM, 2.36; 
Brasil, 1828, KM# 360.2, 20, REIS,  , COBRE, 30MM, 362.07; 
Brasil, 1936, KM# 543, 5000, REIS,  , PRATA 0.600, 27.6MM, 54.12; 
Brasil, 1924, KM# 519, 200, REIS,  , CUPRO-NIQUEL, 25MM, 10.65; 
Brasil, 1938, KM# 539, 400, REIS,  , CUPRO-NIQUEL, 28.1MM, 7.48; 
Brasil, 1889, KM# 492, 100, REIS,  , CUPRO-NIQUEL, 27.15MM, 13.61; 
Brasil, 1927, KM# 520, 400, REIS,  , CUPRO-NIQUEL, 30.2MM, 12.13; 
Brasil, 2015, KM# 649.2, 10, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 20MM, 1.28; 
Brasil, 1945, KM# 555A, 10, CENTAVOS,  , ALUMINIO-BRONZE, 17.22MM, ; 
Brasil, 2016, KM# 650, 25, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 25MM, 4.85; 
