pais, ano, krause, valor, moeda, qualidade, material, diametro, valor_venda
Brasil, 1824, KM# 363.2, 40, REIS,  , COBRE, 37MM, 82.97; 
Brasil, 2017, KM# 650, 25, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 25MM, 3.03; 
Brasil, 2017, KM# 648, 5, CENTAVOS,  , ACO COM REVESTIMENTO DE COBRE, 21.9MM, 1.48; 
Brasil, 2017, KM# 652A, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 2.7; 
Brasil, 2017, KM# 649.2, 10, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 20MM, 0.88; 
Brasil, 2016, KM# 652A, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 7.68; 
Brasil, 2016, KM# 648, 5, CENTAVOS,  , ACO COM REVESTIMENTO DE COBRE, 21.9MM, 3.24; 
Brasil, 2016, KM# 651A, 50, CENTAVOS,  , ACO INOXIDAVEL, 23MM, 2.76; 
Brasil, 2016, KM# 649.2, 10, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 20MM, 1.82; 
Brasil, 2016, KM# 725, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 8.76; 
Brasil, 2016, KM# 727, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 7.62; 
Brasil, 2016, KM# 724, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 7.75; 
Brasil, 2016, KM# 726, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 7.68; 
Brasil, 2015, KM# 651A, 50, CENTAVOS,  , ACO INOXIDAVEL, 23MM, 5.26; 
Brasil, 1925, KM# 518, 100, REIS,  , CUPRO-NIQUEL, 21.3MM, 7.89; 
Brasil, 1942, KM# 545, 200, REIS,  , CUPRO-NIQUEL, 18.8MM, 13.48; 
Brasil, 1942, KM# 546, 300, REIS,  , CUPRO-NIQUEL, 20.8MM, 7.01; 
Brasil, 1940, KM# 547, 400, REIS,  , CUPRO-NIQUEL, 23MM, 6.34; 
Brasil, 1940, KM# 546, 300, REIS,  , CUPRO-NIQUEL, 20.8MM, 10.99; 
Brasil, 1940, KM# 545, 200, REIS,  , CUPRO-NIQUEL, 18.8MM, 8.29; 
Brasil, 1940, KM# 544, 100, REIS,  , CUPRO-NIQUEL, 16.87MM, 6.07; 
Brasil, 1939, KM# 551, 2000, REIS,  , ALUMINIO-BRONZE, 26.3MM, 29.12; 
Brasil, 1939, KM# 550, 1000, REIS,  , ALUMINIO-BRONZE, 24.4MM, 4.92; 
Brasil, 1938, KM# 542, 2000, REIS,  , ALUMINIO-BRONZE, 26MM, 55; 
Brasil, 1938, KM# 541, 1000, REIS,  , ALUMINIO-BRONZE, 24.3MM, 10.51; 
Brasil, 1938, KM# 540, 500, REIS,  , ALUMINIO-BRONZE, 22.3MM, 11.05; 
Brasil, 1938, KM# 547, 400, REIS,  , CUPRO-NIQUEL, 23MM, 8.49; 
Brasil, 1938, KM# 546, 300, REIS,  , CUPRO-NIQUEL, 20.8MM, 4.79; 
Brasil, 1938, KM# 538, 300, REIS,  , CUPRO-NIQUEL, 25.2MM, 7.41; 
Brasil, 1938, KM# 537, 200, REIS,  , CUPRO-NIQUEL, 23MM, 9.03; 
Brasil, 1938, KM# 536, 100, REIS,  , CUPRO-NIQUEL, 19MM, 5.46; 
Brasil, 1938, KM# 544, 100, REIS,  , CUPRO-NIQUEL, 16.87MM, 10.78; 
Brasil, 1937, KM# 539, 400, REIS,  , CUPRO-NIQUEL, 28.1MM, 23.86; 
Brasil, 1936, KM# 541, 1000, REIS,  , ALUMINIO-BRONZE, 24.3MM, 12.74; 
Brasil, 1936, KM# 540, 500, REIS,  , ALUMINIO-BRONZE, 22.3MM, 16.85; 
Brasil, 1936, KM# 539, 400, REIS,  , CUPRO-NIQUEL, 28.1MM, 13.88; 
Brasil, 1936, KM# 538, 300, REIS,  , CUPRO-NIQUEL, 25.2MM, 9.84; 
Brasil, 1936, KM# 537, 200, REIS,  , CUPRO-NIQUEL, 23MM, 8.9; 
Brasil, 1936, KM# 536, 100, REIS,  , CUPRO-NIQUEL, 19MM, 6.13; 
Brasil, 1930, KM# 518, 100, REIS,  , CUPRO-NIQUEL, 21.3MM, 16.85; 
Brasil, 1929, KM# 518, 100, REIS,  , CUPRO-NIQUEL, 21.3MM, 9.64; 
Brasil, 1926, KM# 526, 2000, REIS,  , PRATA 0.500, 26MM, 39.36; 
Brasil, 1927, KM# 525, 1000, REIS,  , ALUMINIO-BRONZE, 26.8MM, 9.71; 
Brasil, 1925, KM# 525, 1000, REIS,  , ALUMINIO-BRONZE, 26.8MM, 11.39; 
Brasil, 1924, KM# 525, 1000, REIS,  , ALUMINIO-BRONZE, 26.8MM, 9.3; 
Brasil, 1922, KM# 519, 200, REIS,  , CUPRO-NIQUEL, 25MM, 11.19; 
Brasil, 1918, KM# 520, 400, REIS,  , CUPRO-NIQUEL, 30.2MM, 15.17; 
Brasil, 1907, KM# 508, 2000, REIS,  , PRATA 0.900, 32.5MM, 114.58; 
Brasil, 1901, KM# 505, 400, REIS,  , CUPRO-NIQUEL, 30MM, 13.35; 
Brasil, 1901, KM# 504, 200, REIS,  , CUPRO-NIQUEL, 25MM, 8.29; 
Brasil, 1901, KM# 503, 100, REIS,  , CUPRO-NIQUEL, 20.96MM, 8.09; 
Brasil, 1900, KM# 491, 40, REIS,  , BRONZE, 30MM, 33.7; 
Brasil, 1871, KM# 477, 100, REIS,  , CUPRO-NIQUEL, 27MM, 17.39; 
Brasil, 1869, KM# 474, 20, REIS,  , BRONZE, 25.39MM, 20.22; 
Brasil, 1868, KM# 474, 20, REIS,  , BRONZE, 25.39MM, 22.58; 
Brasil, 1868, KM# 473, 10, REIS,  , BRONZE, 20MM, 35.25; 
Brasil, 2015, KM# 650, 25, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 25MM, 1.62; 
Brasil, 2015, KM# 648, 5, CENTAVOS,  , ACO COM REVESTIMENTO DE COBRE, 21.9MM, 1.21; 
Brasil, 2015, KM# 710, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 7.35; 
Brasil, 2014, KM# 651A, 50, CENTAVOS,  , ACO INOXIDAVEL, 23MM, 2.97; 
Brasil, 2015, KM# 711, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 9.91; 
Brasil, 2015, KM# 708, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 7.01; 
Brasil, 2000, KM# 649.2, 10, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 20MM, 2.16; 
Brasil, 1949, KM# 561, 10, CENTAVOS,  , ALUMINIO-BRONZE, 17.3MM, 4.72; 
Brasil, 2015, KM# 709, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 9.1; 
Brasil, 1977, KM# 587, 5, CENTAVOS,  , ACO INOXIDAVEL, 21MM, 5.19; 
Brasil, 2015, KM# 706, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 8.16; 
Brasil, 2015, KM# 704, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 9.23; 
Brasil, 2000, KM# 647, 1, CENTAVO,  , ACO COM REVESTIMENTO DE COBRE, 17MM, 2.76; 
Brasil, 2015, KM# 707, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 9.17; 
Brasil, 2015, KM# 705, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 8.9; 
Brasil, 2015, KM# 723, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 6.74; 
Brasil, 1995, KM# 642, 25, CENTAVOS,  , ACO INOXIDAVEL, 23.5MM, 31.07; 
Brasil, 1975, KM# 587, 5, CENTAVOS,  , ACO INOXIDAVEL, 21MM, 3.77; 
Brasil, 1946, KM# 559, 2, CRUZEIROS,  , ALUMINIO-BRONZE, 25MM, 7.62; 
Brasil, 1945, KM# 557A, 50, CENTAVOS,  , ALUMINIO-BRONZE, 21MM, 4.92; 
Brasil, 1945, KM# 556A, 20, CENTAVOS,  , ALUMINIO-BRONZE, 20MM, ; 
Brasil, 1944, KM# 555A, 10, CENTAVOS,  , ALUMINIO-BRONZE, 17.22MM, ; 
Brasil, 1943, KM# 557A, 50, CENTAVOS,  , ALUMINIO-BRONZE, 21MM, 5.93; 
Brasil, 1976, KM# 587, 5, CENTAVOS,  , ACO INOXIDAVEL, 21MM, 6.61; 
Brasil, 1989, KM# 615, 1, CRUZADO NOVO,  , ACO INOXIDAVEL, 31MM, 9.37; 
Brasil, 1992, KM# 625, 5000, CRUZEIROS,  , ACO INOXIDAVEL, 31MM, 16.51; 
Brasil, 2012, KM# 679, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 119.7; 
Brasil, 2005, KM# 668, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 9.17; 
Brasil, 2002, KM# 656, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 9.23; 
Brasil, 1998, KM# 653, 1, REAL,  , BIMETALICA: CENTRO DE CUPRO-NIQUEL ANEL DE LATAO, 27MM, 168.16; 
Brasil, 1995, KM# 641, 10, CENTAVOS,  , ACO INOXIDAVEL, 22MM, 50.48; 
Brasil, 2014, KM# 688, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 9.17; 
Brasil, 2014, KM# 690, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 8.69; 
Brasil, 2014, KM# 687, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 8.36; 
Brasil, 2014, KM# 689, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 8.43; 
Brasil, 2014, KM# 652A, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 8.83; 
Brasil, 2014, KM# 650, 25, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 25MM, 2.9; 
Brasil, 2014, KM# 649.2, 10, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 20MM, 0.88; 
Brasil, 2014, KM# 648, 5, CENTAVOS,  , ACO COM REVESTIMENTO DE COBRE, 21.9MM, 1.48; 
Brasil, 1999, KM# 648, 5, CENTAVOS,  , ACO COM REVESTIMENTO DE COBRE, 21.9MM, 5.39; 
Brasil, 1986, KM# 604, 50, CENTAVOS,  , ACO INOXIDAVEL, 21MM, 4.85; 
Brasil, 1986, KM# 603, 20, CENTAVOS,  , ACO INOXIDAVEL, 18.7MM, 2.49; 
Brasil, 1986, KM# 602, 10, CENTAVOS,  , ACO INOXIDAVEL, 16.9MM, 1.75; 
Brasil, 1944, KM# 557A, 50, CENTAVOS,  , ALUMINIO-BRONZE, 21MM, ; 
Brasil, 1945, KM# 559, 2, CRUZEIROS,  , ALUMINIO-BRONZE, 25MM, ; 
Brasil, 1945, KM# 558, 1, CRUZEIRO,  , ALUMINIO-BRONZE, 22.9MM, ; 
Brasil, 1946, KM# 558, 1, CRUZEIRO,  , ALUMINIO-BRONZE, 22.9MM, 5.05; 
Brasil, 1946, KM# 557A, 50, CENTAVOS,  , ALUMINIO-BRONZE, 21MM, 3.57; 
Brasil, 1946, KM# 556A, 20, CENTAVOS,  , ALUMINIO-BRONZE, 20MM, 3.3; 
Brasil, 1947, KM# 557A, 50, CENTAVOS,  , ALUMINIO-BRONZE, 21MM, 3.44; 
Brasil, 1947, KM# 556A, 20, CENTAVOS,  , ALUMINIO-BRONZE, 20MM, 4.65; 
Brasil, 1948, KM# 563, 50, CENTAVOS,  , ALUMINIO-BRONZE, 21.3MM, 5.86; 
Brasil, 1948, KM# 562, 20, CENTAVOS,  , ALUMINIO-BRONZE, 19.26MM, 5.39; 
Brasil, 1949, KM# 562, 20, CENTAVOS,  , ALUMINIO-BRONZE, 19.26MM, 3.57; 
Brasil, 1949, KM# 563, 50, CENTAVOS,  , ALUMINIO-BRONZE, 21.3MM, 6.13; 
Brasil, 1949, KM# 559, 2, CRUZEIROS,  , ALUMINIO-BRONZE, 25MM, 7.62; 
Brasil, 1950, KM# 558, 1, CRUZEIRO,  , ALUMINIO-BRONZE, 22.9MM, 9.23; 
Brasil, 1950, KM# 562, 20, CENTAVOS,  , ALUMINIO-BRONZE, 19.26MM, 4.72; 
Brasil, 1953, KM# 558, 1, CRUZEIRO,  , ALUMINIO-BRONZE, 22.9MM, 2.97; 
Brasil, 1953, KM# 563, 50, CENTAVOS,  , ALUMINIO-BRONZE, 21.3MM, 3.98; 
Brasil, 1954, KM# 563, 50, CENTAVOS,  , ALUMINIO-BRONZE, 21.3MM, 3.37; 
Brasil, 1954, KM# 562, 20, CENTAVOS,  , ALUMINIO-BRONZE, 19.26MM, 4.38; 
Brasil, 1955, KM# 558, 1, CRUZEIRO,  , ALUMINIO-BRONZE, 22.9MM, 5.39; 
Brasil, 1955, KM# 563, 50, CENTAVOS,  , ALUMINIO-BRONZE, 21.3MM, 3.1; 
Brasil, 1955, KM# 562, 20, CENTAVOS,  , ALUMINIO-BRONZE, 19.26MM, 4.25; 
Brasil, 1956, KM# 566, 50, CENTAVOS,  , ALUMINIO-BRONZE, 17.04MM, 5.93; 
Brasil, 1957, KM# 571, 2, CRUZEIROS,  , ALUMINIO, 25.26MM, 9.1; 
Brasil, 1959, KM# 570, 1, CRUZEIRO,  , ALUMINIO, 23.23MM, 5.86; 
Brasil, 1960, KM# 571, 2, CRUZEIROS,  , ALUMINIO, 25.26MM, 7.21; 
Brasil, 1965, KM# 574, 50, CRUZEIROS,  , NIQUEL, 18MM, 3.57; 
Brasil, 1965, KM# 573, 20, CRUZEIROS,  , ALUMINIO, 25MM, 4.85; 
Brasil, 1967, KM# 580, 50, CENTAVOS,  , NIQUEL, 27MM, 14.36; 
Brasil, 1967, KM# 579, 20, CENTAVOS,  , CUPRO-NIQUEL, 25MM, 2.7; 
Brasil, 1967, KM# 578, 10, CENTAVOS,  , CUPRO-NIQUEL, 23MM, 2.02; 
Brasil, 1967, KM# 577.1, 5, CENTAVOS,  , ACO INOXIDAVEL, 21MM, 1.48; 
Brasil, 1967, KM# 576.1, 2, CENTAVOS,  , ACO INOXIDAVEL, 19MM, 2.16; 
Brasil, 1969, KM# 577.2, 5, CENTAVOS,  , ACO INOXIDAVEL, 21MM, 1.55; 
Brasil, 1969, KM# 576.2, 2, CENTAVOS,  , ACO INOXIDAVEL, 19MM, 2.36; 
Brasil, 1969, KM# 575.2, 1, CENTAVO,  , ACO INOXIDAVEL, 17MM, 2.16; 
Brasil, 1970, KM# 581, 1, CRUZEIRO,  , NIQUEL, 29MM, 4.04; 
Brasil, 1970, KM# 580A, 50, CENTAVOS,  , CUPRO-NIQUEL, 27MM, 2.09; 
Brasil, 1970, KM# 579, 20, CENTAVOS,  , CUPRO-NIQUEL, 25MM, 2.63; 
Brasil, 1970, KM# 578, 10, CENTAVOS,  , CUPRO-NIQUEL, 23MM, 1.95; 
Brasil, 1974, KM# 581A, 1, CRUZEIRO,  , CUPRO-NIQUEL, 29MM, 7.41; 
Brasil, 1974, KM# 578.1A, 10, CENTAVOS,  , ACO INOXIDAVEL, 23MM, 2.43; 
Brasil, 1975, KM# 580B, 50, CENTAVOS,  , ACO INOXIDAVEL, 27MM, 4.92; 
Brasil, 1975, KM# 581A, 1, CRUZEIRO,  , CUPRO-NIQUEL, 29MM, 5.05; 
Brasil, 1975, KM# 579.1A, 20, CENTAVOS,  , ACO INOXIDAVEL, 25MM, 2.49; 
Brasil, 1975, KM# 578.1A, 10, CENTAVOS,  , ACO INOXIDAVEL, 23MM, 2.76; 
Brasil, 1976, KM# 581A, 1, CRUZEIRO,  , CUPRO-NIQUEL, 29MM, 3.44; 
Brasil, 1976, KM# 580B, 50, CENTAVOS,  , ACO INOXIDAVEL, 27MM, 2.97; 
Brasil, 1976, KM# 579.1A, 20, CENTAVOS,  , ACO INOXIDAVEL, 25MM, 3.37; 
Brasil, 1976, KM# 578.1A, 10, CENTAVOS,  , ACO INOXIDAVEL, 23MM, 1.55; 
Brasil, 1977, KM# 580B, 50, CENTAVOS,  , ACO INOXIDAVEL, 27MM, 2.7; 
Brasil, 1977, KM# 579.1A, 20, CENTAVOS,  , ACO INOXIDAVEL, 25MM, 2.29; 
Brasil, 1977, KM# 578.1A, 10, CENTAVOS,  , ACO INOXIDAVEL, 23MM, 1.82; 
Brasil, 1978, KM# 580B, 50, CENTAVOS,  , ACO INOXIDAVEL, 27MM, 3.37; 
Brasil, 1978, KM# 579.1A, 20, CENTAVOS,  , ACO INOXIDAVEL, 25MM, 2.97; 
Brasil, 1978, KM# 578.1A, 10, CENTAVOS,  , ACO INOXIDAVEL, 23MM, 1.62; 
Brasil, 1979, KM# 580B, 50, CENTAVOS,  , ACO INOXIDAVEL, 27MM, 4.65; 
Brasil, 1979, KM# 590, 1, CRUZEIRO,  , ACO INOXIDAVEL, 20MM, 1.69; 
Brasil, 1980, KM# 592.1, 10, CRUZEIROS,  , ACO INOXIDAVEL, 24MM, 3.24; 
Brasil, 1980, KM# 591, 5, CRUZEIROS,  , ACO INOXIDAVEL, 22MM, 1.48; 
Brasil, 1980, KM# 590, 1, CRUZEIRO,  , ACO INOXIDAVEL, 20MM, 1.89; 
Brasil, 1981, KM# 594.1, 50, CRUZEIROS,  , ACO INOXIDAVEL, 28MM, 3.17; 
Brasil, 1981, KM# 593.1, 20, CRUZEIROS,  , ACO INOXIDAVEL, 26MM, 3.5; 
Brasil, 1981, KM# 592.1, 10, CRUZEIROS,  , ACO INOXIDAVEL, 24MM, 1.35; 
Brasil, 1981, KM# 591, 5, CRUZEIROS,  , ACO INOXIDAVEL, 22MM, 1.69; 
Brasil, 1981, KM# 590, 1, CRUZEIRO,  , ACO INOXIDAVEL, 20MM, 1.95; 
Brasil, 1982, KM# 594.1, 50, CRUZEIROS,  , ACO INOXIDAVEL, 28MM, 3.03; 
Brasil, 1982, KM# 593.1, 20, CRUZEIROS,  , ACO INOXIDAVEL, 26MM, 3.64; 
Brasil, 1982, KM# 592.1, 10, CRUZEIROS,  , ACO INOXIDAVEL, 24MM, 1.69; 
Brasil, 1982, KM# 591, 5, CRUZEIROS,  , ACO INOXIDAVEL, 22MM, 2.7; 
Brasil, 1982, KM# 590, 1, CRUZEIRO,  , ACO INOXIDAVEL, 20MM, 3.5; 
Brasil, 1983, KM# 594.1, 50, CRUZEIROS,  , ACO INOXIDAVEL, 28MM, 2.7; 
Brasil, 1983, KM# 593.1, 20, CRUZEIROS,  , ACO INOXIDAVEL, 26MM, 2.36; 
Brasil, 1983, KM# 592.1, 10, CRUZEIROS,  , ACO INOXIDAVEL, 24MM, 2.22; 
Brasil, 1983, KM# 591, 5, CRUZEIROS,  , ACO INOXIDAVEL, 22MM, 2.36; 
Brasil, 1984, KM# 594.1, 50, CRUZEIROS,  , ACO INOXIDAVEL, 28MM, 2.63; 
Brasil, 1984, KM# 593.1, 20, CRUZEIROS,  , ACO INOXIDAVEL, 26MM, 1.95; 
Brasil, 1984, KM# 592.1, 10, CRUZEIROS,  , ACO INOXIDAVEL, 24MM, 2.02; 
Brasil, 1984, KM# 591, 5, CRUZEIROS,  , ACO INOXIDAVEL, 22MM, 2.9; 
Brasil, 1985, KM# 597, 500, CRUZEIROS,  , ACO INOXIDAVEL, 21MM, 2.7; 
Brasil, 1985, KM# 596, 200, CRUZEIROS,  , ACO INOXIDAVEL, 19MM, 3.77; 
Brasil, 1985, KM# 595, 100, CRUZEIROS,  , ACO INOXIDAVEL, 17MM, 3.24; 
Brasil, 1985, KM# 594.2, 50, CRUZEIROS,  , ACO INOXIDAVEL, 28MM, 2.63; 
Brasil, 1985, KM# 593.2, 20, CRUZEIROS,  , ACO INOXIDAVEL, 26MM, 1.55; 
Brasil, 1985, KM# 592.2, 10, CRUZEIROS,  , ACO INOXIDAVEL, 24MM, 2.43; 
Brasil, 1986, KM# 597, 500, CRUZEIROS,  , ACO INOXIDAVEL, 21MM, 3.84; 
Brasil, 1986, KM# 596, 200, CRUZEIROS,  , ACO INOXIDAVEL, 19MM, 4.79; 
Brasil, 1986, KM# 595, 100, CRUZEIROS,  , ACO INOXIDAVEL, 17MM, 4.18; 
Brasil, 1986, KM# 606, 5, CRUZADOS,  , ACO INOXIDAVEL, 25MM, 4.11; 
Brasil, 1986, KM# 605, 1, CRUZADO,  , ACO INOXIDAVEL, 23MM, 2.83; 
Brasil, 1987, KM# 607, 10, CRUZADOS,  , ACO INOXIDAVEL, 27MM, 2.43; 
Brasil, 1987, KM# 606, 5, CRUZADOS,  , ACO INOXIDAVEL, 25MM, 4.11; 
Brasil, 1987, KM# 605, 1, CRUZADO,  , ACO INOXIDAVEL, 23MM, 2.29; 
Brasil, 1987, KM# 604, 50, CENTAVOS,  , ACO INOXIDAVEL, 21MM, 2.22; 
Brasil, 1987, KM# 602, 10, CENTAVOS,  , ACO INOXIDAVEL, 16.9MM, 2.43; 
Brasil, 1987, KM# 603, 20, CENTAVOS,  , ACO INOXIDAVEL, 18.7MM, 3.64; 
Brasil, 1988, KM# 604, 50, CENTAVOS,  , ACO INOXIDAVEL, 21MM, 2.49; 
Brasil, 1988, KM# 607, 10, CRUZADOS,  , ACO INOXIDAVEL, 27MM, 3.84; 
Brasil, 1988, KM# 606, 5, CRUZADOS,  , ACO INOXIDAVEL, 25MM, 4.04; 
Brasil, 1988, KM# 605, 1, CRUZADO,  , ACO INOXIDAVEL, 23MM, 2.09; 
Brasil, 1989, KM# 613, 10, CENTAVOS,  , ACO INOXIDAVEL, 19MM, 1.48; 
Brasil, 1989, KM# 612, 5, CENTAVOS,  , ACO INOXIDAVEL, 18MM, 1.48; 
Brasil, 1989, KM# 611, 1, CENTAVO,  , ACO INOXIDAVEL, 17MM, 3.71; 
Brasil, 1993, KM# 628, 10, CRUZEIROS REAIS,  , ACO INOXIDAVEL, 22MM, 3.77; 
Brasil, 1998, KM# 652, 1, REAL,  , BIMETALICA: CENTRO DE CUPRO-NIQUEL ANEL DE LATAO, 27MM, 7.68; 
Brasil, 2002, KM# 652A, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 8.22; 
Brasil, 2005, KM# 652A, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 6.74; 
Brasil, 2012, KM# 652A, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 3.5; 
Brasil, 1990, KM# 620, 50, CRUZEIROS,  , ACO INOXIDAVEL, 23.5MM, 16.51; 
Brasil, 1990, KM# 619, 10, CRUZEIROS,  , ACO INOXIDAVEL, 22.5MM, 2.22; 
Brasil, 1990, KM# 618, 5, CRUZEIROS,  , ACO INOXIDAVEL, 21MM, 1.95; 
Brasil, 1990, KM# 617, 1, CRUZEIRO,  , ACO INOXIDAVEL, 20.5MM, 4.04; 
Brasil, 1991, KM# 620, 50, CRUZEIROS,  , ACO INOXIDAVEL, 23.5MM, 2.7; 
Brasil, 1991, KM# 619, 10, CRUZEIROS,  , ACO INOXIDAVEL, 22.5MM, 2.16; 
Brasil, 1991, KM# 618, 5, CRUZEIROS,  , ACO INOXIDAVEL, 21MM, 3.37; 
Brasil, 1992, KM# 626, 1000, CRUZEIROS,  , ACO INOXIDAVEL, 20MM, 4.25; 
Brasil, 1992, KM# 624, 500, CRUZEIROS,  , ACO INOXIDAVEL, 19MM, 3.91; 
Brasil, 1992, KM# 623, 100, CRUZEIROS,  , ACO INOXIDAVEL, 18MM, 2.76; 
Brasil, 1992, KM# 620, 50, CRUZEIROS,  , ACO INOXIDAVEL, 23.5MM, 3.17; 
Brasil, 1993, KM# 626, 1000, CRUZEIROS,  , ACO INOXIDAVEL, 20MM, 4.04; 
Brasil, 1993, KM# 624, 500, CRUZEIROS,  , ACO INOXIDAVEL, 19MM, 2.97; 
Brasil, 1993, KM# 623, 100, CRUZEIROS,  , ACO INOXIDAVEL, 18MM, 4.65; 
Brasil, 1993, KM# 629, 50, CRUZEIROS REAIS,  , ACO INOXIDAVEL, 23MM, 4.92; 
Brasil, 1993, KM# 627, 5, CRUZEIROS REAIS,  , ACO INOXIDAVEL, 21MM, 3.57; 
Brasil, 1994, KM# 630, 100, CRUZEIROS REAIS,  , ACO INOXIDAVEL, 24MM, 6; 
Brasil, 1994, KM# 629, 50, CRUZEIROS REAIS,  , ACO INOXIDAVEL, 23MM, 9.5; 
Brasil, 1994, KM# 628, 10, CRUZEIROS REAIS,  , ACO INOXIDAVEL, 22MM, 3.71; 
Brasil, 1994, KM# 636, 1, REAL,  , ACO INOXIDAVEL, 24MM, 3.37; 
Brasil, 1994, KM# 635, 50, CENTAVOS,  , ACO INOXIDAVEL, 23MM, 2.76; 
Brasil, 1994, KM# 634, 25, CENTAVOS,  , ACO INOXIDAVEL, 23.5MM, 1.75; 
Brasil, 1994, KM# 633, 10, CENTAVOS,  , ACO INOXIDAVEL, 22MM, 1.62; 
Brasil, 1994, KM# 632, 5, CENTAVOS,  , ACO INOXIDAVEL, 21MM, 0.94; 
Brasil, 1994, KM# 631, 1, CENTAVO,  , ACO INOXIDAVEL, 20MM, 0.94; 
Brasil, 1995, KM# 635, 50, CENTAVOS,  , ACO INOXIDAVEL, 23MM, 1.35; 
Brasil, 1995, KM# 634, 25, CENTAVOS,  , ACO INOXIDAVEL, 23.5MM, 2.36; 
Brasil, 1995, KM# 633, 10, CENTAVOS,  , ACO INOXIDAVEL, 22MM, 1.01; 
Brasil, 1995, KM# 632, 5, CENTAVOS,  , ACO INOXIDAVEL, 21MM, 1.35; 
Brasil, 1995, KM# 631, 1, CENTAVO,  , ACO INOXIDAVEL, 20MM, 1.01; 
Brasil, 1996, KM# 633, 10, CENTAVOS,  , ACO INOXIDAVEL, 22MM, 1.28; 
Brasil, 1996, KM# 632, 5, CENTAVOS,  , ACO INOXIDAVEL, 21MM, 1.28; 
Brasil, 1996, KM# 631, 1, CENTAVO,  , ACO INOXIDAVEL, 20MM, 1.75; 
