                           PAIS   ANO           #         VALOR             MOEDA  QUALIDADE                                                                                    MATERIAL  DIAMETRO        VENDA
239                      Brasil  2016    KM# 651A            50          CENTAVOS                                                                                         ACO INOXIDAVEL      23MM       2.76; 
240                      Brasil  2016   KM# 649.2            10          CENTAVOS                                                                          ACO COM REVESTIMENTO DE LATAO      20MM       1.82; 
241                      Brasil  2016     KM# 725             1              REAL                            BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE      27MM       8.76; 
242                      Brasil  2016     KM# 727             1              REAL                            BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE      27MM       7.62; 
243                      Brasil  2016     KM# 724             1              REAL                            BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE      27MM       7.75; 
244                      Brasil  2016     KM# 726             1              REAL                            BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE      27MM       7.68; 
245                      Brasil  2015    KM# 651A            50          CENTAVOS                                                                                         ACO INOXIDAVEL      23MM       5.26; 
246                      Brasil  1925     KM# 518           100              REIS                                                                                           CUPRO-NIQUEL    21.3MM       7.89; 
247                      Brasil  1942     KM# 545           200              REIS                                                                                           CUPRO-NIQUEL    18.8MM      13.48; 
248                      Brasil  1942     KM# 546           300              REIS                                                                                           CUPRO-NIQUEL    20.8MM       7.01; 
249                      Brasil  1940     KM# 547           400              REIS                                                                                           CUPRO-NIQUEL      23MM       6.34; 
250                      Brasil  1940     KM# 546           300              REIS                                                                                           CUPRO-NIQUEL    20.8MM      10.99; 
251                      Brasil  1940     KM# 545           200              REIS                                                                                           CUPRO-NIQUEL    18.8MM       8.29; 
252                      Brasil  1940     KM# 544           100              REIS                                                                                           CUPRO-NIQUEL   16.87MM       6.07; 
253                      Brasil  1939     KM# 551          2000              REIS                                                                                        ALUMINIO-BRONZE    26.3MM      29.12; 
254                      Brasil  1939     KM# 550          1000              REIS                                                                                        ALUMINIO-BRONZE    24.4MM       4.92; 
255                      Brasil  1938     KM# 542          2000              REIS                                                                                        ALUMINIO-BRONZE      26MM         55; 
256                      Brasil  1938     KM# 541          1000              REIS                                                                                        ALUMINIO-BRONZE    24.3MM      10.51; 
257                      Brasil  1938     KM# 540           500              REIS                                                                                        ALUMINIO-BRONZE    22.3MM      11.05; 
258                      Brasil  1938     KM# 547           400              REIS                                                                                           CUPRO-NIQUEL      23MM       8.49; 
259                      Brasil  1938     KM# 546           300              REIS                                                                                           CUPRO-NIQUEL    20.8MM       4.79; 
260                      Brasil  1938     KM# 538           300              REIS                                                                                           CUPRO-NIQUEL    25.2MM       7.41; 
261                      Brasil  1938     KM# 537           200              REIS                                                                                           CUPRO-NIQUEL      23MM       9.03; 
262                      Brasil  1938     KM# 536           100              REIS                                                                                           CUPRO-NIQUEL      19MM       5.46; 
263                      Brasil  1938     KM# 544           100              REIS                                                                                           CUPRO-NIQUEL   16.87MM      10.78; 
264                      Brasil  1937     KM# 539           400              REIS                                                                                           CUPRO-NIQUEL    28.1MM      23.86; 
265                      Brasil  1936     KM# 541          1000              REIS                                                                                        ALUMINIO-BRONZE    24.3MM      12.74; 
266                      Brasil  1936     KM# 540           500              REIS                                                                                        ALUMINIO-BRONZE    22.3MM      16.85; 
267                      Brasil  1936     KM# 539           400              REIS                                                                                           CUPRO-NIQUEL    28.1MM      13.88; 
268                      Brasil  1936     KM# 538           300              REIS                                                                                           CUPRO-NIQUEL    25.2MM       9.84; 
269                      Brasil  1936     KM# 537           200              REIS                                                                                           CUPRO-NIQUEL      23MM        8.9; 
270                      Brasil  1936     KM# 536           100              REIS                                                                                           CUPRO-NIQUEL      19MM       6.13; 
271                      Brasil  1930     KM# 518           100              REIS                                                                                           CUPRO-NIQUEL    21.3MM      16.85; 
272                      Brasil  1929     KM# 518           100              REIS                                                                                           CUPRO-NIQUEL    21.3MM       9.64; 
273                      Brasil  1926     KM# 526          2000              REIS                                                                                            PRATA 0.500      26MM      39.36; 
274                      Brasil  1927     KM# 525          1000              REIS                                                                                        ALUMINIO-BRONZE    26.8MM       9.71; 
275                      Brasil  1925     KM# 525          1000              REIS                                                                                        ALUMINIO-BRONZE    26.8MM      11.39; 
276                      Brasil  1924     KM# 525          1000              REIS                                                                                        ALUMINIO-BRONZE    26.8MM        9.3; 
277                      Brasil  1922     KM# 519           200              REIS                                                                                           CUPRO-NIQUEL      25MM      11.19; 
278                      Brasil  1918     KM# 520           400              REIS                                                                                           CUPRO-NIQUEL    30.2MM      15.17; 
279                      Brasil  1907     KM# 508          2000              REIS                                                                                            PRATA 0.900    32.5MM     114.58; 
280                      Brasil  1901     KM# 505           400              REIS                                                                                           CUPRO-NIQUEL      30MM      13.35; 
281                      Brasil  1901     KM# 504           200              REIS                                                                                           CUPRO-NIQUEL      25MM       8.29; 
282                      Brasil  1901     KM# 503           100              REIS                                                                                           CUPRO-NIQUEL   20.96MM       8.09; 
283                      Brasil  1900     KM# 491            40              REIS                                                                                                 BRONZE      30MM       33.7; 
284                      Brasil  1871     KM# 477           100              REIS                                                                                           CUPRO-NIQUEL      27MM      17.39; 
285                      Brasil  1869     KM# 474            20              REIS                                                                                                 BRONZE   25.39MM      20.22; 
286                      Brasil  1868     KM# 474            20              REIS                                                                                                 BRONZE   25.39MM      22.58; 
287                      Brasil  1868     KM# 473            10              REIS                                                                                                 BRONZE      20MM      35.25; 
288                      Brasil  2015     KM# 650            25          CENTAVOS                                                                          ACO COM REVESTIMENTO DE LATAO      25MM       1.62; 
289                      Brasil  2015     KM# 648             5          CENTAVOS                                                                          ACO COM REVESTIMENTO DE COBRE    21.9MM       1.21; 
290                      Brasil  2015     KM# 710             1              REAL                            BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE      27MM       7.35; 
291                      Brasil  2014    KM# 651A            50          CENTAVOS                                                                                         ACO INOXIDAVEL      23MM       2.97; 
292                      Brasil  2015     KM# 711             1              REAL                            BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE      27MM       9.91; 
293                      Brasil  2015     KM# 708             1              REAL                            BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE      27MM       7.01; 
294                      Brasil  2000   KM# 649.2            10          CENTAVOS                                                                          ACO COM REVESTIMENTO DE LATAO      20MM       2.16; 
295                      Brasil  1949     KM# 561            10          CENTAVOS                                                                                        ALUMINIO-BRONZE    17.3MM       4.72; 
296                      Brasil  2015     KM# 709             1              REAL                            BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE      27MM        9.1; 
297                      Brasil  1977     KM# 587             5          CENTAVOS                                                                                         ACO INOXIDAVEL      21MM       5.19; 
298                      Brasil  2015     KM# 706             1              REAL                            BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE      27MM       8.16; 
299                      Brasil  2015     KM# 704             1              REAL                            BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE      27MM       9.23; 
300                      Brasil  2000     KM# 647             1           CENTAVO                                                                          ACO COM REVESTIMENTO DE COBRE      17MM       2.76; 
301                      Brasil  2015     KM# 707             1              REAL                            BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE      27MM       9.17; 
302                      Brasil  2015     KM# 705             1              REAL                            BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE      27MM        8.9; 
303                      Brasil  2015     KM# 723             1              REAL                            BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE      27MM       6.74; 
304                      Brasil  1995     KM# 642            25          CENTAVOS                                                                                         ACO INOXIDAVEL    23.5MM      31.07; 
305                      Brasil  1975     KM# 587             5          CENTAVOS                                                                                         ACO INOXIDAVEL      21MM       3.77; 
306                      Brasil  1946     KM# 559             2         CRUZEIROS                                                                                        ALUMINIO-BRONZE      25MM       7.62; 
307                      Brasil  1945    KM# 557A            50          CENTAVOS                                                                                        ALUMINIO-BRONZE      21MM       4.92; 
308                      Brasil  1945    KM# 556A            20          CENTAVOS                                                                                        ALUMINIO-BRONZE      20MM           ; 
309                      Brasil  1944    KM# 555A            10          CENTAVOS                                                                                        ALUMINIO-BRONZE   17.22MM           ; 
310                      Brasil  1943    KM# 557A            50          CENTAVOS                                                                                        ALUMINIO-BRONZE      21MM       5.93; 
311                      Brasil  1976     KM# 587             5          CENTAVOS                                                                                         ACO INOXIDAVEL      21MM       6.61; 
312                      Brasil  1989     KM# 615             1      CRUZADO NOVO                                                                                         ACO INOXIDAVEL      31MM       9.37; 
313                      Brasil  1992     KM# 625          5000         CRUZEIROS                                                                                         ACO INOXIDAVEL      31MM      16.51; 
314                      Brasil  2012     KM# 679             1              REAL                            BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE      27MM      119.7; 
315                      Brasil  2005     KM# 668             1              REAL                            BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE      27MM       9.17; 
316                      Brasil  2002     KM# 656             1              REAL                            BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE      27MM       9.23; 
317                      Brasil  1998     KM# 653             1              REAL                                                       BIMETALICA: CENTRO DE CUPRO-NIQUEL ANEL DE LATAO      27MM     168.16; 
318                      Brasil  1995     KM# 641            10          CENTAVOS                                                                                         ACO INOXIDAVEL      22MM      50.48; 
319                      Brasil  2014     KM# 688             1              REAL                            BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE      27MM       9.17; 
320                      Brasil  2014     KM# 690             1              REAL                            BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE      27MM       8.69; 
321                      Brasil  2014     KM# 687             1              REAL                            BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE      27MM       8.36; 
322                      Brasil  2014     KM# 689             1              REAL                            BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE      27MM       8.43; 
323                      Brasil  2014    KM# 652A             1              REAL                            BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE      27MM       8.83; 
324                      Brasil  2014     KM# 650            25          CENTAVOS                                                                          ACO COM REVESTIMENTO DE LATAO      25MM        2.9; 
325                      Brasil  2014   KM# 649.2            10          CENTAVOS                                                                          ACO COM REVESTIMENTO DE LATAO      20MM       0.88; 
326                      Brasil  2014     KM# 648             5          CENTAVOS                                                                          ACO COM REVESTIMENTO DE COBRE    21.9MM       1.48; 
327                      Brasil  1999     KM# 648             5          CENTAVOS                                                                          ACO COM REVESTIMENTO DE COBRE    21.9MM       5.39; 
328                      Brasil  1986     KM# 604            50          CENTAVOS                                                                                         ACO INOXIDAVEL      21MM       4.85; 
329                      Brasil  1986     KM# 603            20          CENTAVOS                                                                                         ACO INOXIDAVEL    18.7MM       2.49; 
330                      Brasil  1986     KM# 602            10          CENTAVOS                                                                                         ACO INOXIDAVEL    16.9MM       1.75; 
331                      Brasil  1944    KM# 557A            50          CENTAVOS                                                                                        ALUMINIO-BRONZE      21MM           ; 
332                      Brasil  1945     KM# 559             2         CRUZEIROS                                                                                        ALUMINIO-BRONZE      25MM           ; 
333                      Brasil  1945     KM# 558             1          CRUZEIRO                                                                                        ALUMINIO-BRONZE    22.9MM           ; 
334                      Brasil  1946     KM# 558             1          CRUZEIRO                                                                                        ALUMINIO-BRONZE    22.9MM       5.05; 
335                      Brasil  1946    KM# 557A            50          CENTAVOS                                                                                        ALUMINIO-BRONZE      21MM       3.57; 
336                      Brasil  1946    KM# 556A            20          CENTAVOS                                                                                        ALUMINIO-BRONZE      20MM        3.3; 
337                      Brasil  1947    KM# 557A            50          CENTAVOS                                                                                        ALUMINIO-BRONZE      21MM       3.44; 
338                      Brasil  1947    KM# 556A            20          CENTAVOS                                                                                        ALUMINIO-BRONZE      20MM       4.65; 
339                      Brasil  1948     KM# 563            50          CENTAVOS                                                                                        ALUMINIO-BRONZE    21.3MM       5.86; 
340                      Brasil  1948     KM# 562            20          CENTAVOS                                                                                        ALUMINIO-BRONZE   19.26MM       5.39; 
341                      Brasil  1949     KM# 562            20          CENTAVOS                                                                                        ALUMINIO-BRONZE   19.26MM       3.57; 
342                      Brasil  1949     KM# 563            50          CENTAVOS                                                                                        ALUMINIO-BRONZE    21.3MM       6.13; 
343                      Brasil  1949     KM# 559             2         CRUZEIROS                                                                                        ALUMINIO-BRONZE      25MM       7.62; 
344                      Brasil  1950     KM# 558             1          CRUZEIRO                                                                                        ALUMINIO-BRONZE    22.9MM       9.23; 
345                      Brasil  1950     KM# 562            20          CENTAVOS                                                                                        ALUMINIO-BRONZE   19.26MM       4.72; 
346                      Brasil  1953     KM# 558             1          CRUZEIRO                                                                                        ALUMINIO-BRONZE    22.9MM       2.97; 
347                      Brasil  1953     KM# 563            50          CENTAVOS                                                                                        ALUMINIO-BRONZE    21.3MM       3.98; 
348                      Brasil  1954     KM# 563            50          CENTAVOS                                                                                        ALUMINIO-BRONZE    21.3MM       3.37; 
349                      Brasil  1954     KM# 562            20          CENTAVOS                                                                                        ALUMINIO-BRONZE   19.26MM       4.38; 
350                      Brasil  1955     KM# 558             1          CRUZEIRO                                                                                        ALUMINIO-BRONZE    22.9MM       5.39; 
351                      Brasil  1955     KM# 563            50          CENTAVOS                                                                                        ALUMINIO-BRONZE    21.3MM        3.1; 
352                      Brasil  1955     KM# 562            20          CENTAVOS                                                                                        ALUMINIO-BRONZE   19.26MM       4.25; 
353                      Brasil  1956     KM# 566            50          CENTAVOS                                                                                        ALUMINIO-BRONZE   17.04MM       5.93; 
354                      Brasil  1957     KM# 571             2         CRUZEIROS                                                                                               ALUMINIO   25.26MM        9.1; 
355                      Brasil  1959     KM# 570             1          CRUZEIRO                                                                                               ALUMINIO   23.23MM       5.86; 
356                      Brasil  1960     KM# 571             2         CRUZEIROS                                                                                               ALUMINIO   25.26MM       7.21; 
357                      Brasil  1965     KM# 574            50         CRUZEIROS                                                                                                 NIQUEL      18MM       3.57; 
358                      Brasil  1965     KM# 573            20         CRUZEIROS                                                                                               ALUMINIO      25MM       4.85; 
359                      Brasil  1967     KM# 580            50          CENTAVOS                                                                                                 NIQUEL      27MM      14.36; 
360                      Brasil  1967     KM# 579            20          CENTAVOS                                                                                           CUPRO-NIQUEL      25MM        2.7; 
361                      Brasil  1967     KM# 578            10          CENTAVOS                                                                                           CUPRO-NIQUEL      23MM       2.02; 
362                      Brasil  1967   KM# 577.1             5          CENTAVOS                                                                                         ACO INOXIDAVEL      21MM       1.48; 
363                      Brasil  1967   KM# 576.1             2          CENTAVOS                                                                                         ACO INOXIDAVEL      19MM       2.16; 
364                      Brasil  1969   KM# 577.2             5          CENTAVOS                                                                                         ACO INOXIDAVEL      21MM       1.55; 
365                      Brasil  1969   KM# 576.2             2          CENTAVOS                                                                                         ACO INOXIDAVEL      19MM       2.36; 
366                      Brasil  1969   KM# 575.2             1           CENTAVO                                                                                         ACO INOXIDAVEL      17MM       2.16; 
367                      Brasil  1970     KM# 581             1          CRUZEIRO                                                                                                 NIQUEL      29MM       4.04; 
368                      Brasil  1970    KM# 580A            50          CENTAVOS                                                                                           CUPRO-NIQUEL      27MM       2.09; 
369                      Brasil  1970     KM# 579            20          CENTAVOS                                                                                           CUPRO-NIQUEL      25MM       2.63; 
370                      Brasil  1970     KM# 578            10          CENTAVOS                                                                                           CUPRO-NIQUEL      23MM       1.95; 
371                      Brasil  1974    KM# 581A             1          CRUZEIRO                                                                                           CUPRO-NIQUEL      29MM       7.41; 
372                      Brasil  1974  KM# 578.1A            10          CENTAVOS                                                                                         ACO INOXIDAVEL      23MM       2.43; 
373                      Brasil  1975    KM# 580B            50          CENTAVOS                                                                                         ACO INOXIDAVEL      27MM       4.92; 
374                      Brasil  1975    KM# 581A             1          CRUZEIRO                                                                                           CUPRO-NIQUEL      29MM       5.05; 
375                      Brasil  1975  KM# 579.1A            20          CENTAVOS                                                                                         ACO INOXIDAVEL      25MM       2.49; 
376                      Brasil  1975  KM# 578.1A            10          CENTAVOS                                                                                         ACO INOXIDAVEL      23MM       2.76; 
377                      Brasil  1976    KM# 581A             1          CRUZEIRO                                                                                           CUPRO-NIQUEL      29MM       3.44; 
378                      Brasil  1976    KM# 580B            50          CENTAVOS                                                                                         ACO INOXIDAVEL      27MM       2.97; 
379                      Brasil  1976  KM# 579.1A            20          CENTAVOS                                                                                         ACO INOXIDAVEL      25MM       3.37; 
380                      Brasil  1976  KM# 578.1A            10          CENTAVOS                                                                                         ACO INOXIDAVEL      23MM       1.55; 
381                      Brasil  1977    KM# 580B            50          CENTAVOS                                                                                         ACO INOXIDAVEL      27MM        2.7; 
382                      Brasil  1977  KM# 579.1A            20          CENTAVOS                                                                                         ACO INOXIDAVEL      25MM       2.29; 
383                      Brasil  1977  KM# 578.1A            10          CENTAVOS                                                                                         ACO INOXIDAVEL      23MM       1.82; 
384                      Brasil  1978    KM# 580B            50          CENTAVOS                                                                                         ACO INOXIDAVEL      27MM       3.37; 
385                      Brasil  1978  KM# 579.1A            20          CENTAVOS                                                                                         ACO INOXIDAVEL      25MM       2.97; 
386                      Brasil  1978  KM# 578.1A            10          CENTAVOS                                                                                         ACO INOXIDAVEL      23MM       1.62; 
387                      Brasil  1979    KM# 580B            50          CENTAVOS                                                                                         ACO INOXIDAVEL      27MM       4.65; 
388                      Brasil  1979     KM# 590             1          CRUZEIRO                                                                                         ACO INOXIDAVEL      20MM       1.69; 
389                      Brasil  1980   KM# 592.1            10         CRUZEIROS                                                                                         ACO INOXIDAVEL      24MM       3.24; 
390                      Brasil  1980     KM# 591             5         CRUZEIROS                                                                                         ACO INOXIDAVEL      22MM       1.48; 
391                      Brasil  1980     KM# 590             1          CRUZEIRO                                                                                         ACO INOXIDAVEL      20MM       1.89; 
392                      Brasil  1981   KM# 594.1            50         CRUZEIROS                                                                                         ACO INOXIDAVEL      28MM       3.17; 
393                      Brasil  1981   KM# 593.1            20         CRUZEIROS                                                                                         ACO INOXIDAVEL      26MM        3.5; 
394                      Brasil  1981   KM# 592.1            10         CRUZEIROS                                                                                         ACO INOXIDAVEL      24MM       1.35; 
395                      Brasil  1981     KM# 591             5         CRUZEIROS                                                                                         ACO INOXIDAVEL      22MM       1.69; 
396                      Brasil  1981     KM# 590             1          CRUZEIRO                                                                                         ACO INOXIDAVEL      20MM       1.95; 
397                      Brasil  1982   KM# 594.1            50         CRUZEIROS                                                                                         ACO INOXIDAVEL      28MM       3.03; 
398                      Brasil  1982   KM# 593.1            20         CRUZEIROS                                                                                         ACO INOXIDAVEL      26MM       3.64; 
399                      Brasil  1982   KM# 592.1            10         CRUZEIROS                                                                                         ACO INOXIDAVEL      24MM       1.69; 
400                      Brasil  1982     KM# 591             5         CRUZEIROS                                                                                         ACO INOXIDAVEL      22MM        2.7; 
401                      Brasil  1982     KM# 590             1          CRUZEIRO                                                                                         ACO INOXIDAVEL      20MM        3.5; 
402                      Brasil  1983   KM# 594.1            50         CRUZEIROS                                                                                         ACO INOXIDAVEL      28MM        2.7; 
403                      Brasil  1983   KM# 593.1            20         CRUZEIROS                                                                                         ACO INOXIDAVEL      26MM       2.36; 
404                      Brasil  1983   KM# 592.1            10         CRUZEIROS                                                                                         ACO INOXIDAVEL      24MM       2.22; 
405                      Brasil  1983     KM# 591             5         CRUZEIROS                                                                                         ACO INOXIDAVEL      22MM       2.36; 
406                      Brasil  1984   KM# 594.1            50         CRUZEIROS                                                                                         ACO INOXIDAVEL      28MM       2.63; 
407                      Brasil  1984   KM# 593.1            20         CRUZEIROS                                                                                         ACO INOXIDAVEL      26MM       1.95; 
408                      Brasil  1984   KM# 592.1            10         CRUZEIROS                                                                                         ACO INOXIDAVEL      24MM       2.02; 
409                      Brasil  1984     KM# 591             5         CRUZEIROS                                                                                         ACO INOXIDAVEL      22MM        2.9; 
410                      Brasil  1985     KM# 597           500         CRUZEIROS                                                                                         ACO INOXIDAVEL      21MM        2.7; 
411                      Brasil  1985     KM# 596           200         CRUZEIROS                                                                                         ACO INOXIDAVEL      19MM       3.77; 
412                      Brasil  1985     KM# 595           100         CRUZEIROS                                                                                         ACO INOXIDAVEL      17MM       3.24; 
413                      Brasil  1985   KM# 594.2            50         CRUZEIROS                                                                                         ACO INOXIDAVEL      28MM       2.63; 
414                      Brasil  1985   KM# 593.2            20         CRUZEIROS                                                                                         ACO INOXIDAVEL      26MM       1.55; 
415                      Brasil  1985   KM# 592.2            10         CRUZEIROS                                                                                         ACO INOXIDAVEL      24MM       2.43; 
416                      Brasil  1986     KM# 597           500         CRUZEIROS                                                                                         ACO INOXIDAVEL      21MM       3.84; 
417                      Brasil  1986     KM# 596           200         CRUZEIROS                                                                                         ACO INOXIDAVEL      19MM       4.79; 
418                      Brasil  1986     KM# 595           100         CRUZEIROS                                                                                         ACO INOXIDAVEL      17MM       4.18; 
419                      Brasil  1986     KM# 606             5          CRUZADOS                                                                                         ACO INOXIDAVEL      25MM       4.11; 
420                      Brasil  1986     KM# 605             1           CRUZADO                                                                                         ACO INOXIDAVEL      23MM       2.83; 
421                      Brasil  1987     KM# 607            10          CRUZADOS                                                                                         ACO INOXIDAVEL      27MM       2.43; 
422                      Brasil  1987     KM# 606             5          CRUZADOS                                                                                         ACO INOXIDAVEL      25MM       4.11; 
423                      Brasil  1987     KM# 605             1           CRUZADO                                                                                         ACO INOXIDAVEL      23MM       2.29; 
424                      Brasil  1987     KM# 604            50          CENTAVOS                                                                                         ACO INOXIDAVEL      21MM       2.22; 
425                      Brasil  1987     KM# 602            10          CENTAVOS                                                                                         ACO INOXIDAVEL    16.9MM       2.43; 
426                      Brasil  1987     KM# 603            20          CENTAVOS                                                                                         ACO INOXIDAVEL    18.7MM       3.64; 
427                      Brasil  1988     KM# 604            50          CENTAVOS                                                                                         ACO INOXIDAVEL      21MM       2.49; 
428                      Brasil  1988     KM# 607            10          CRUZADOS                                                                                         ACO INOXIDAVEL      27MM       3.84; 
429                      Brasil  1988     KM# 606             5          CRUZADOS                                                                                         ACO INOXIDAVEL      25MM       4.04; 
430                      Brasil  1988     KM# 605             1           CRUZADO                                                                                         ACO INOXIDAVEL      23MM       2.09; 
431                      Brasil  1989     KM# 613            10          CENTAVOS                                                                                         ACO INOXIDAVEL      19MM       1.48; 
432                      Brasil  1989     KM# 612             5          CENTAVOS                                                                                         ACO INOXIDAVEL      18MM       1.48; 
433                      Brasil  1989     KM# 611             1           CENTAVO                                                                                         ACO INOXIDAVEL      17MM       3.71; 
434                      Brasil  1993     KM# 628            10   CRUZEIROS REAIS                                                                                         ACO INOXIDAVEL      22MM       3.77; 
435                      Brasil  1998     KM# 652             1              REAL                                                       BIMETALICA: CENTRO DE CUPRO-NIQUEL ANEL DE LATAO      27MM       7.68; 
436                      Brasil  2002    KM# 652A             1              REAL                            BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE      27MM       8.22; 
437                      Brasil  2005    KM# 652A             1              REAL                            BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE      27MM       6.74; 
438                      Brasil  2012    KM# 652A             1              REAL                            BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE      27MM        3.5; 
439                      Brasil  1990     KM# 620            50         CRUZEIROS                                                                                         ACO INOXIDAVEL    23.5MM      16.51; 
440                      Brasil  1990     KM# 619            10         CRUZEIROS                                                                                         ACO INOXIDAVEL    22.5MM       2.22; 
441                      Brasil  1990     KM# 618             5         CRUZEIROS                                                                                         ACO INOXIDAVEL      21MM       1.95; 
442                      Brasil  1990     KM# 617             1          CRUZEIRO                                                                                         ACO INOXIDAVEL    20.5MM       4.04; 
443                      Brasil  1991     KM# 620            50         CRUZEIROS                                                                                         ACO INOXIDAVEL    23.5MM        2.7; 
444                      Brasil  1991     KM# 619            10         CRUZEIROS                                                                                         ACO INOXIDAVEL    22.5MM       2.16; 
445                      Brasil  1991     KM# 618             5         CRUZEIROS                                                                                         ACO INOXIDAVEL      21MM       3.37; 
446                      Brasil  1992     KM# 626          1000         CRUZEIROS                                                                                         ACO INOXIDAVEL      20MM       4.25; 
447                      Brasil  1992     KM# 624           500         CRUZEIROS                                                                                         ACO INOXIDAVEL      19MM       3.91; 
448                      Brasil  1992     KM# 623           100         CRUZEIROS                                                                                         ACO INOXIDAVEL      18MM       2.76; 
449                      Brasil  1992     KM# 620            50         CRUZEIROS                                                                                         ACO INOXIDAVEL    23.5MM       3.17; 
450                      Brasil  1993     KM# 626          1000         CRUZEIROS                                                                                         ACO INOXIDAVEL      20MM       4.04; 
451                      Brasil  1993     KM# 624           500         CRUZEIROS                                                                                         ACO INOXIDAVEL      19MM       2.97; 
452                      Brasil  1993     KM# 623           100         CRUZEIROS                                                                                         ACO INOXIDAVEL      18MM       4.65; 
453                      Brasil  1993     KM# 629            50   CRUZEIROS REAIS                                                                                         ACO INOXIDAVEL      23MM       4.92; 
454                      Brasil  1993     KM# 627             5   CRUZEIROS REAIS                                                                                         ACO INOXIDAVEL      21MM       3.57; 
455                      Brasil  1994     KM# 630           100   CRUZEIROS REAIS                                                                                         ACO INOXIDAVEL      24MM          6; 
