                           PAIS   ANO           #         VALOR             MOEDA  QUALIDADE                                                                                    MATERIAL  DIAMETRO        VENDA
43                     Alemanha  2012     KM# 208             2  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   18.75MM       0.13; 
44                     Alemanha  2008     KM# 207             1   CENTIMO DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   16.25MM       0.07; 
45                     Alemanha  2004     KM# 207             1   CENTIMO DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   16.25MM       0.13; 
46                     Alemanha  2004     KM# 211            20  CENTIMOS DE EURO                                                                                           OURO NORDICO   22.25MM       1.35; 
47                     Alemanha  2003     KM# 211            20  CENTIMOS DE EURO                                                                                           OURO NORDICO   22.25MM       1.35; 
48                     Alemanha  1996     KM# 107             5           PFENNIG                                                                          ACO COM REVESTIMENTO DE LATAO    18.5MM       1.21; 
49                     Alemanha  1996     KM# 108            10           PFENNIG                                                                          ACO COM REVESTIMENTO DE LATAO    21.5MM       1.28; 
50                     Alemanha  1991     KM# 107             5           PFENNIG                                                                          ACO COM REVESTIMENTO DE LATAO    18.5MM       1.01; 
51                     Alemanha  1990     KM# 107             5           PFENNIG                                                                          ACO COM REVESTIMENTO DE LATAO    18.5MM       1.15; 
52                     Alemanha  1986     KM# 107             5           PFENNIG                                                                          ACO COM REVESTIMENTO DE LATAO    18.5MM       0.67; 
53                     Alemanha  1983     KM# 107             5           PFENNIG                                                                          ACO COM REVESTIMENTO DE LATAO    18.5MM       0.74; 
54                     Alemanha  1983     KM# 105             1           PFENNIG                                                                          ACO COM REVESTIMENTO DE COBRE    16.5MM       0.88; 
55                     Alemanha  1981     KM# 105             1           PFENNIG                                                                          ACO COM REVESTIMENTO DE COBRE    16.5MM       0.81; 
56                     Alemanha  1979     KM# 108            10           PFENNIG                                                                          ACO COM REVESTIMENTO DE LATAO    21.5MM       1.62; 
57                     Alemanha  1976     KM# 110             1             MARCO                                                                                           CUPRO-NIQUEL    23.5MM       2.36; 
58                     Alemanha  1974     KM# 109            50           PFENNIG                                                                                           CUPRO-NIQUEL      20MM       1.42; 
59                     Alemanha  1972     KM# 105             1           PFENNIG                                                                          ACO COM REVESTIMENTO DE COBRE    16.5MM       0.94; 
60                     Alemanha  1971     KM# 109            50           PFENNIG                                                                                           CUPRO-NIQUEL      20MM       2.16; 
61                     Alemanha  1966     KM# 107             5           PFENNIG                                                                          ACO COM REVESTIMENTO DE LATAO    18.5MM       1.01; 
62                     Alemanha  1950     KM# 107             5           PFENNIG                                                                          ACO COM REVESTIMENTO DE LATAO    18.5MM       0.67; 
63                     Alemanha  1949     KM# 103            10           PFENNIG                                                                          ACO COM REVESTIMENTO DE LATAO    21.5MM       1.08; 
64    Alemanha - terceiro reich  1941      KM# 97             1     REICHSPFENNIG                                                                                                  ZINCO    16.5MM       4.45; 
65    Alemanha - terceiro reich  1943     KM# 101            10     REICHSPFENNIG                                                                                                  ZINCO      21MM       6.54; 
66    Alemanha - terceiro reich  1944      KM# 97             1     REICHSPFENNIG                                                                                                  ZINCO    16.5MM       8.09; 
67    Alemanha - terceiro reich  1940     KM# 100             5     REICHSPFENNIG                                                                                                  ZINCO      19MM       7.01; 
68    Alemanha - terceiro reich  1938      KM# 89             1     REICHSPFENNIG                                                                                                 BRONZE    17.5MM        9.1; 
69    Alemanha - terceiro reich  1940     KM# 101            10     REICHSPFENNIG                                                                                                  ZINCO      21MM       6.27; 
70                       Angola  2014     KM# 111            20           KWANZAS                                                       BI-METALICA: CENTRO ACO INOX - ANEL ACO COBREADO      28MM      22.31; 
71                       Angola  2012     KM# 110            10           KWANZAS                                                BIMETALICA: CENTRO DE NIQUEL-LATAO ANEL DE CUPRO-NIQUEL      27MM      11.79; 
72                       Angola  2012     KM# 109             5           KWANZAS                                                BIMETALICA: CENTRO DE CUPRO-NIQUEL ANEL DE NIQUEL-LATAO      25MM      12.06; 
73                       Angola  2012     KM# 108             1            KWANZA                                                                                           NIQUEL-LATAO    22.1MM       9.03; 
74                       Angola  2012     KM# 107            50          CENTIMOS                                                                   ACO COM REVESTIMENTO DE CUPRO-NIQUEL    20.6MM       5.93; 
75                       Angola  1999      KM# 97             1            KWANZA                                                                         ACO COM REVESTIMENTO DE NIQUEL      21MM       7.35; 
76          Antilhas holandesas  2001      KM# 32             1           CENTIMO                                                                                               ALUMINIO      14MM       2.29; 
77          Antilhas holandesas  1974       KM# 9             2      1/2 CENTIMOS                                                                                                 BRONZE      22MM       2.43; 
