"País","Denominação","Ano", "Var.", "Moeda", "Assunto","Estado (Conservação)","Preço, BRL","Número Krause","Tags","Comentário"
"Equador","20 sucres","1991","","Sucre equatoriano","","","","KM# 94","",""
"Equador","5 centavos","1946","","Sucre equatoriano","","","","KM# 75b","",""
"Eslováquia","10 cêntimos de euro","2009","","Euro","","","","KM# 98","",""
"Eslovênia ","10 stotinov","1992","","Tolar esloveno","","","","KM# 7","",""
"Eslovênia ","20 stotinov","1993","","Tolar esloveno","","","","KM# 8","",""
"Eslovênia ","20 stotinov","1992","","Tolar esloveno","","","","KM# 8","",""
"Eslovênia ","50 stotinov","1993","","Tolar esloveno","","","","KM# 3","",""
"Espanha","1 peseta","1997","","Peseta espanhola","","","","KM# 832","",""
"Espanha","1 peseta","1980 80","80","Peseta espanhola","80 inside the star","","","KM# 816","",""
"Espanha","1 peseta","1975 80","80","Peseta espanhola","80 inside the star","","","KM# 806","",""
"Espanha","5 pesetas","1997","","Peseta espanhola","Ilhas Baleares","","","KM# 981","",""
"Espanha","5 pesetas","1996","","Peseta espanhola","La Rioja","","","KM# 960","",""
"Espanha","5 pesetas","1992","","Peseta espanhola","","","","KM# 833","",""
"Espanha","5 pesetas","1975 79","79","Peseta espanhola","79 inside the star","","","KM# 807","",""
"Espanha","10 pesetas","1983","","Peseta espanhola","","","","KM# 827","",""
"Espanha","25 pesetas","1996","","Peseta espanhola","Castelo de La Mancha","","","KM# 962","",""
"Espanha","25 pesetas","1995","","Peseta espanhola","Inscrição: ""Castilla y León""","","","KM# 948","",""
"Espanha","25 pesetas","1991","","Peseta espanhola","XXV Jogos Olímpicos de verão em Barcelona 1992 / Rei Juan Carlos I /","","","KM# 851","",""
"Espanha","25 pesetas","1983","","Peseta espanhola","","","","KM# 824","",""
"Espanha","100 pesetas","1984","","Peseta espanhola","","","","KM# 826","",""
"Espanha","10 cêntimos","1959","","Peseta espanhola","","","","KM# 790","",""
"Espanha","50 cêntimos","1966 71","71","Peseta espanhola","71 inside the star","","","KM# 795","",""
"Espanha","1 peseta","1966 74","74","Peseta espanhola","74 inside the star","","","KM# 796","",""
"Espanha","1 peseta","1966 73","73","Peseta espanhola","73 inside the star","","","KM# 796","",""
"Espanha","1 peseta","1947 53","53","Peseta espanhola","53 inside the star","","","KM# 775","",""
"Espanha","1 peseta","1944","","Peseta espanhola","","","","KM# 767","",""
"Espanha","1 cêntimo de euro","2016","","Euro","","","","KM# 1144","",""
"Espanha","1 cêntimo de euro","2015","","Euro","","","","KM# 1144","",""
"Espanha","1 cêntimo de euro","2003","","Euro","","","","KM# 1040","",""
"Espanha","2 cêntimos de euro","1999","","Euro","","","","KM# 1041","",""
"Espanha","5 cêntimos de euro","2017","","Euro","","","","KM# 1146","",""
"Espanha","5 cêntimos de euro","2011","","Euro","","","","KM# 1146","",""
"Espanha","5 cêntimos de euro","2010","","Euro","","","","KM# 1146","",""
"Espanha","5 cêntimos de euro","2009","","Euro","","","","KM# 1042","",""
"Espanha","5 cêntimos de euro","2008","","Euro","","","","KM# 1042","",""
"Espanha","5 cêntimos de euro","2007","","Euro","","","","KM# 1042","",""
"Espanha","5 cêntimos de euro","2006","","Euro","","","","KM# 1042","",""
"Espanha","5 cêntimos de euro","2005","","Euro","","","","KM# 1042","",""
"Espanha","5 cêntimos de euro","2004","","Euro","","","","KM# 1042","",""
"Espanha","5 cêntimos de euro","2003","","Euro","","","","KM# 1042","",""
"Espanha","5 cêntimos de euro","2001","","Euro","","","","KM# 1042","",""
"Espanha","5 cêntimos de euro","2000","","Euro","","","","KM# 1042","",""
"Espanha","5 cêntimos de euro","1999","","Euro","","","","KM# 1042","",""
"Espanha","10 cêntimos de euro","2008","","Euro","","","","KM# 1070","",""
"Espanha","10 cêntimos de euro","2007","","Euro","","","","KM# 1070","",""
"Espanha","10 cêntimos de euro","2005","","Euro","","","","KM# 1043","",""
"Espanha","10 cêntimos de euro","2004","","Euro","","","","KM# 1043","",""
"Espanha","10 cêntimos de euro","2003","","Euro","","","","KM# 1043","",""
"Espanha","10 cêntimos de euro","2000","","Euro","","","","KM# 1043","",""
"Espanha","10 cêntimos de euro","1999","","Euro","","","","KM# 1043","",""
"Espanha","20 cêntimos de euro","1999","","Euro","","","","KM# 1044","",""
"Espanha","50 cêntimos de euro","2006","","Euro","","","","KM# 1045","",""
"Espanha","1 euro","1999","","Euro","","","","KM# 1046","",""
"EUA","1 cêntimo","2016","","Dólar americano","Cêntimo de Lincoln","","","KM# 468","",""
"EUA","1 cêntimo","2015","","Dólar americano","Cêntimo de Lincoln","","","KM# 468","",""
"EUA","1 cêntimo","2015 D","D","Dólar americano","Cêntimo de Lincoln","","","KM# 468","",""
"EUA","1 cêntimo","2014 D","D","Dólar americano","Cêntimo de Lincoln","","","KM# 468","",""
"EUA","1 cêntimo","2013","","Dólar americano","Cêntimo de Lincoln","","","KM# 468","",""
"EUA","1 cêntimo","2011","","Dólar americano","Cêntimo de Lincoln","","","KM# 468","",""
"EUA","1 cêntimo","2010","","Dólar americano","Cêntimo de Lincoln","","","KM# 468","",""
"EUA","1 cêntimo","2007 D","D","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","2006","","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","2005","","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","2001","","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","2000 D","D","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","2000","","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","1999","","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","1997 D","D","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","1997","","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","1996 D","D","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","1996","","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","1995","","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","1995 D","D","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","1994 D","D","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","1994","","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","1993","","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","1993 D","D","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","1992 D","D","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","1992","","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","1991 D","D","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","1991","","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","1990","","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","1990 D","D","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","1989 D","D","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","1989","","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","1987 D","D","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","1987","","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","1986 D","D","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","1985","","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","1984","","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","1983 D","D","Dólar americano","Cêntimo de Lincoln","","","KM# 201b","",""
"EUA","1 cêntimo","1982 D","D","Dólar americano","Cêntimo de Lincoln","","","KM# 201","",""
"EUA","1 cêntimo","1982","","Dólar americano","Cêntimo de Lincoln","","","KM# 201","",""
"EUA","1 cêntimo","1981","","Dólar americano","Cêntimo de Lincoln","","","KM# 201","",""
"EUA","5 cêntimos","2014 P","P","Dólar americano","Jefferson Nickel

","","","KM# 381","",""
"EUA","5 cêntimos","2008 P","P","Dólar americano","Jefferson Nickel

","","","KM# 381","",""
"EUA","5 cêntimos","2000 D","D","Dólar americano","Jefferson Nickel

","","","KM# A192","",""
"EUA","5 cêntimos","1999 P","P","Dólar americano","Jefferson Nickel

","","","KM# A192","",""
"EUA","5 cêntimos","1996 D","D","Dólar americano","Jefferson Nickel

","","","KM# A192","",""
"EUA","5 cêntimos","1996 P","P","Dólar americano","Jefferson Nickel

","","","KM# A192","",""
"EUA","5 cêntimos","1995 D","D","Dólar americano","Jefferson Nickel

","","","KM# A192","",""
"EUA","5 cêntimos","1994 D","D","Dólar americano","Jefferson Nickel

","","","KM# A192","",""
"EUA","5 cêntimos","1994 P","P","Dólar americano","Jefferson Nickel

","","","KM# A192","",""
"EUA","5 cêntimos","1991 P","P","Dólar americano","Jefferson Nickel

","","","KM# A192","",""
"EUA","5 cêntimos","1990 P","P","Dólar americano","Jefferson Nickel

","","","KM# A192","",""
"EUA","5 cêntimos","1988 P","P","Dólar americano","Jefferson Nickel

","","","KM# A192","",""
"EUA","5 cêntimos","1987 D","D","Dólar americano","Jefferson Nickel

","","","KM# A192","",""
"EUA","5 cêntimos","1985 P","P","Dólar americano","Jefferson Nickel

","","","KM# A192","",""
"EUA","5 cêntimos","1984 P","P","Dólar americano","Jefferson Nickel

","","","KM# A192","",""
"EUA","5 cêntimos","1984 D","D","Dólar americano","Jefferson Nickel

","","","KM# A192","",""
"EUA","5 cêntimos","1982 D","D","Dólar americano","Jefferson Nickel

","","","KM# A192","",""
"EUA","1 dime","2001 D","D","Dólar americano","Dime do Roosevelt","","","KM# 195a","",""
"EUA","1 dime","2000 P","P","Dólar americano","Dime do Roosevelt","","","KM# 195a","",""
"EUA","1 dime","2000 D","D","Dólar americano","Dime do Roosevelt","","","KM# 195a","",""
"EUA","1 dime","1995 D","D","Dólar americano","Dime do Roosevelt","","","KM# 195a","",""
"EUA","1 dime","1993 P","P","Dólar americano","Dime do Roosevelt","","","KM# 195a","",""
"EUA","1 dime","1991 P","P","Dólar americano","Dime do Roosevelt","","","KM# 195a","",""
"EUA","1 dime","1990 P","P","Dólar americano","Dime do Roosevelt","","","KM# 195a","",""
"EUA","1 dime","1990 D","D","Dólar americano","Dime do Roosevelt","","","KM# 195a","",""
"EUA","1 dime","1987 P","P","Dólar americano","Dime do Roosevelt","","","KM# 195a","",""
"EUA","¼ dólar","2007 P","P","Dólar americano","Estado de Washington","","","KM# 397","",""
"EUA","¼ dólar","2007","","Dólar americano","Estado de Montana","","","KM# 396","",""
"EUA","¼ dólar","2006 P","P","Dólar americano","Estado de Nevada","","","KM# 382","",""
"EUA","¼ dólar","2005","","Dólar americano","Estado de Oregon","","","KM# 372","",""
"EUA","¼ dólar","2004 D","D","Dólar americano","Quarto Dólar - Iowa","","","KM# 358","",""
"EUA","¼ dólar","2002 D","D","Dólar americano","Quarto Dólar - Luisiana","","","KM# 333","",""
"EUA","¼ dólar","2001 D","D","Dólar americano","Estado de Rhode Island","","","KM# 320","",""
"EUA","¼ dólar","2001 P","P","Dólar americano","Estado de Nova Iorque","","","KM# 318","",""
"EUA","¼ dólar","2001 P","P","Dólar americano","Estado de Vermont","","","KM# 321","",""
"EUA","¼ dólar","2000 P","P","Dólar americano","Estado de Carolina do Sul","","","KM# 307","",""
"EUA","¼ dólar","1999","","Dólar americano","Quarto Dólar - Connecticut","","","KM# 297","",""
"EUA","¼ dólar","1999 D","D","Dólar americano","Estado de New Jersey","","","KM# 295","",""
"EUA","¼ dólar","1998 P","P","Dólar americano","Washington Quarter","","","KM# 164a","",""
"EUA","¼ dólar","1996 D","D","Dólar americano","Washington Quarter","","","KM# 164a","",""
"EUA","¼ dólar","1995 D","D","Dólar americano","Washington Quarter","","","KM# 164a","",""
"EUA","¼ dólar","1994 D","D","Dólar americano","Washington Quarter","","","KM# 164a","",""
"EUA","¼ dólar","1993 D","D","Dólar americano","Washington Quarter","","","KM# 164a","",""
"EUA","¼ dólar","1991 P","P","Dólar americano","Washington Quarter","","","KM# 164a","",""
"EUA","¼ dólar","1990 D","D","Dólar americano","Washington Quarter","","","KM# 164a","",""
"EUA","¼ dólar","1986","","Dólar americano","Washington Quarter","","","KM# 164a","",""
"EUA","¼ dólar","1985 D","D","Dólar americano","Washington Quarter","","","KM# 164a","",""
"EUA","¼ dólar","1984","","Dólar americano","Washington Quarter","","","KM# 164a","",""
"EUA","¼ dólar","1983 P","P","Dólar americano","Washington Quarter","","","KM# 164a","",""
"EUA","¼ dólar","1983 D","D","Dólar americano","Washington Quarter","","","KM# 164a","",""
"EUA","¼ dólar","1981 D","D","Dólar americano","Washington Quarter","","","KM# 164a","",""
"EUA","1 dólar","2010","","Dólar americano","Presidente dos EUA - Abraham Lincoln (1861-1865)","","","KM# 478","",""
"EUA","1 dólar","2000","","Dólar americano","","","","KM# 310","",""
"EUA","1 cêntimo","1978 D","D","Dólar americano","Cêntimo de Lincoln","","","KM# 201","",""
"EUA","1 cêntimo","1978","","Dólar americano","Cêntimo de Lincoln","","","KM# 201","",""
"EUA","1 cêntimo","1972","","Dólar americano","Cêntimo de Lincoln","","","KM# 201","",""
"EUA","1 cêntimo","1972 D","D","Dólar americano","Cêntimo de Lincoln","","","KM# 201","",""
"EUA","1 cêntimo","1969 D","D","Dólar americano","Cêntimo de Lincoln","","","KM# 201","",""
"EUA","1 cêntimo","1967","","Dólar americano","Cêntimo de Lincoln","","","KM# 201","",""
"EUA","1 cêntimo","1964 D","D","Dólar americano","Cêntimo de Lincoln","","","KM# 201","",""
"EUA","1 cêntimo","1961 D","D","Dólar americano","Cêntimo de Lincoln","","","KM# 201","",""
"EUA","1 cêntimo","1960","","Dólar americano","Cêntimo de Lincoln","","","KM# 201","",""
"EUA","1 cêntimo","1957 D","D","Dólar americano","Mintmark ""D"" - Denver","","","KM# A132","",""
"EUA","5 cêntimos","1979 D","D","Dólar americano","Jefferson Nickel

","","","KM# A192","",""
"EUA","5 cêntimos","1974","","Dólar americano","Jefferson Nickel

","","","KM# A192","",""
"EUA","5 cêntimos","1972 D","D","Dólar americano","Jefferson Nickel

","","","KM# A192","",""
"EUA","5 cêntimos","1964","","Dólar americano","Jefferson Nickel

","","","KM# A192","",""
"EUA","1 dime","1980 P","P","Dólar americano","Dime do Roosevelt","","","KM# 195a","",""
"EUA","1 dime","1975 D","D","Dólar americano","Dime do Roosevelt","","","KM# 195a","",""
"EUA","1 dime","1975","","Dólar americano","Dime do Roosevelt","","","KM# 195a","",""
"EUA","1 dime","1973 D","D","Dólar americano","Dime do Roosevelt","","","KM# 195a","",""
"EUA","1 dime","1968 D","D","Dólar americano","Dime do Roosevelt","","","KM# 195a","",""
"EUA","1 dime","1967","","Dólar americano","Dime do Roosevelt","","","KM# 195a","",""
"EUA","¼ dólar","1980 D","D","Dólar americano","Washington Quarter","","","KM# 164a","",""
"EUA","¼ dólar","1977","","Dólar americano","Washington Quarter","","","KM# 164a","",""
"EUA","¼ dólar","1974","","Dólar americano","Washington Quarter","","","KM# 164a","",""
"EUA","¼ dólar","1973","","Dólar americano","Washington Quarter","","","KM# 164a","",""
"EUA","¼ dólar","1970 D","D","Dólar americano","Washington Quarter","","","KM# 164a","",""
"EUA","¼ dólar","1967","","Dólar americano","Washington Quarter","","","KM# 164a","",""
"EUA","¼ dólar","1965","","Dólar americano","Washington Quarter","","","KM# 164a","",""
"EUA","½ dólar","1967","","Dólar americano","1/2 dólar - Kennedy","","","KM# 202a","",""
"EUA","½ dólar","1967","","Dólar americano","1/2 dólar - Kennedy","","","KM# 202a","",""
"EUA","½ dólar","1966","","Dólar americano","1/2 dólar - Kennedy","","","KM# 202a","",""
"EUA","½ dólar","1965","","Dólar americano","1/2 dólar - Kennedy","","","KM# 202a","",""
"EUA","1 dólar","1972","","Dólar americano","","","","KM# 203","",""
"EUA","5 cêntimos","1941","","Dólar americano","Jefferson Nickel

","","","KM# 192","",""
"Fiji","1 cêntimo","2001","","Dólar de Fiji","","","","KM# 49a","",""
"Filipinas","1 piso","2003","","Peso filipino","","","","KM# 269","",""
"Finlândia","1 penni","1979","","Markka finlandesa","","","","KM# 44a","",""
"Finlândia","10 penniä","1990","","Markka finlandesa","","","","KM# 65","",""
"Finlândia","10 penniä","1963","","Markka finlandesa","","","","KM# 46","",""
"Finlândia","1 markka","1996","","Markka finlandesa","","","","KM# 76","",""
"Finlândia","5 markkaa","1994","","Markka finlandesa","","","","KM# 73","",""
"Finlândia","5 cêntimos de euro","2001","","Euro","","","","KM# 100","",""
"Finlândia","5 cêntimos de euro","1999","","Euro","","","","KM# 100","",""
"Finlândia","10 cêntimos de euro","1999","","Euro","","","","KM# 101","",""
"França","10 cêntimos","1998","","Franco francês","","","","KM# 929","",""
"França","20 cêntimos","1997","","Franco francês","","","","KM# 930","",""
"França","20 cêntimos","1995","","Franco francês","","","","KM# 930","",""
"França","20 cêntimos","1976","","Franco francês","","","","KM# 930","",""
"França","20 cêntimos","1963","","Franco francês","","","","KM# 930","",""
"França","½ franco","1994","","Franco francês","","","","KM# 931","",""
"França","½ franco","1977","","Franco francês","","","","KM# 931","",""
"França","½ franco","1976","","Franco francês","","","","KM# 931","",""
"França","1 franco","1977","","Franco francês","","","","KM# 925","",""
"França","1 franco","1975","","Franco francês","","","","KM# 925","",""
"França","1 franco","1971","","Franco francês","","","","KM# 925","",""
"França","1 franco","1964","","Franco francês","","","","KM# 925","",""
"França","1 franco","1960","","Franco francês","","","","KM# 925","",""
"França","2 francos","1980","","Franco francês","","","","KM# 942.1","",""
"França","2 francos","1979","","Franco francês","","","","KM# 942.1","",""
"França","5 francos","1991 ↑↓","↑↓","Franco francês","Coin alignment (180°)","","","KM# 926a","",""
"França","5 francos","1970","","Franco francês","","","","KM# 926a","",""
"França","10 francos","1990","","Franco francês","","","","KM# 964","",""
"França","10 francos","1976","","Franco francês","","","","KM# 940","",""
"França","1 franco","1948","","Franco francês","W/o mintmark","","","KM# 885a","",""
"França","5 francos","1949 B","B","Franco francês","Mintmark ""B"" - Beaumont-le-Roger","","","KM# 888b","",""
"França","5 francos","1947","","Franco francês","W/o mintmark","","","KM# 888b","",""
"França","10 francos","1951 B","B","Franco francês","Mintmark ""B"" - Beaumont-le-Roger	","","","KM# 915","",""
"França","10 francos","1951","","Franco francês","W/o mintmark","","","KM# 915","",""
"França","1 franco","1944","","Franco francês","","","","KM# 902","",""
"França","1 cêntimo de euro","2009","","Euro","","","","KM# 1282","",""
"França","1 cêntimo de euro","2008","","Euro","","","","KM# 1282","",""
"França","1 cêntimo de euro","2007","","Euro","","","","KM# 1282","",""
"França","1 cêntimo de euro","2005","","Euro","","","","KM# 1282","",""
"França","2 cêntimos de euro","2004","","Euro","","","","KM# 1283","",""
"França","5 cêntimos de euro","2014","","Euro","","","","KM# 1284","",""
"França","5 cêntimos de euro","2012","","Euro","","","","KM# 1284","",""
"França","5 cêntimos de euro","2011","","Euro","","","","KM# 1284","",""
"França","5 cêntimos de euro","2010","","Euro","","","","KM# 1284","",""
"França","5 cêntimos de euro","2009","","Euro","","","","KM# 1284","",""
"França","5 cêntimos de euro","2008","","Euro","","","","KM# 1284","",""
"França","5 cêntimos de euro","2006","","Euro","","","","KM# 1284","",""
"França","5 cêntimos de euro","2000","","Euro","","","","KM# 1284","",""
"França","5 cêntimos de euro","1999","","Euro","","","","KM# 1284","",""
"França","10 cêntimos de euro","2013","","Euro","","","","KM# 1410","",""
"França","10 cêntimos de euro","2010","","Euro","","","","KM# 1410","",""
"França","10 cêntimos de euro","2009","","Euro","","","","KM# 1410","",""
"França","10 cêntimos de euro","2008","","Euro","","","","KM# 1410","",""
"França","10 cêntimos de euro","2007","","Euro","","","","KM# 1410","",""
"França","10 cêntimos de euro","2006","","Euro","","","","KM# 1285","",""
"França","10 cêntimos de euro","2000","","Euro","","","","KM# 1285","",""
"França","10 cêntimos de euro","1999","","Euro","","","","KM# 1285","",""
"França","20 cêntimos de euro","2002","","Euro","","","","KM# 1286","",""
"França","20 cêntimos de euro","2001","","Euro","","","","KM# 1286","",""
"França","20 cêntimos de euro","2000","","Euro","","","","KM# 1286","",""
"França","50 cêntimos de euro","2002","","Euro","","","","KM# 1287","",""
"França","50 cêntimos de euro","2001","","Euro","","","","KM# 1287","",""
"França","1 euro","2000","","Euro","","","","KM# 1288","",""
"França","1 euro","1999","","Euro","","","","KM# 1288","",""
"França","5 cêntimos","1854","","Franco francês","","","","KM# 777","",""
"Gana","50 pesewas","2007","","Cedi do Gana","","","","KM# 41","",""
"Grécia","2 dracmas","1988","","Dracma grego","","","","KM# 151","",""
"Grécia","5 dracmas","1978","","Dracma grego","","","","KM# 118","",""
"Grécia","10 dracmas","1990","","Dracma grego","","","","KM# 132","",""
"Grécia","20 dracmas","1992","","Dracma grego","","","","KM# 154","",""
"Grécia","100 dracmas","1994","","Dracma grego","","","","KM# 159","",""
"Grécia","5 cêntimos de euro","2009","","Euro","","","","KM# 183","",""
"Grécia","5 cêntimos de euro","2007","","Euro","","","","KM# 183","",""
"Grécia","5 cêntimos de euro","2002","","Euro","","","","KM# 183","",""
"Grécia","10 cêntimos de euro","2009","","Euro","","","","KM# 211","",""
"Guiana","1 cêntimo","1978","","Dólar da Guiana","","","","KM# 31","",""
"Guiana","5 cêntimos","1991","","Dólar da Guiana","","","","KM# 32","",""
"Guiana","10 cêntimos","1990","","Dólar da Guiana","","","","KM# 33","",""
"Haiti","5 cêntimos","1997","","Gurde haitiano","","","","KM# 154a","",""
"Haiti","20 cêntimos","1991","","Gurde haitiano","","","","KM# 152","",""
"Haiti","50 cêntimos","1991","","Gurde haitiano","","","","KM# 153","",""
"Holanda","5 cêntimos","1983","","Florim Holandês","","","","KM# 202","",""
"Holanda","1 cêntimo","1960","","Florim Holandês","","","","KM# 180","",""
"Holanda","5 cêntimos","1980","","Florim Holandês","","","","KM# 181","",""
"Holanda","5 cêntimos","1954","","Florim Holandês","","","","KM# 181","",""
"Holanda","10 cêntimos","1968","","Florim Holandês","","","","KM# 182","",""
"Holanda","25 cêntimos","1969","","Florim Holandês","","","","KM# 183","",""
"Holanda","10 cêntimos","1948","","Florim Holandês","","","","KM# 177","",""
"Holanda","5 cêntimos de euro","2008","","Euro","","","","KM# 236","",""
"Holanda","5 cêntimos de euro","2006","","Euro","","","","KM# 236","",""
"Holanda","5 cêntimos de euro","2005","","Euro","","","","KM# 236","",""
"Holanda","5 cêntimos de euro","2001","","Euro","","","","KM# 236","",""
"Holanda","10 cêntimos de euro","2000","","Euro","","","","KM# 237","",""
"Holanda","10 cêntimos de euro","1999","","Euro","","","","KM# 237","",""
"Holanda","20 cêntimos de euro","2003","","Euro","","","","KM# 238","",""
"Holanda","50 cêntimos de euro","2002","","Euro","","","","KM# 239","",""
"Hong Kong","50 cêntimos","1997","","Dólar de Hong Kong","","","","KM# 68","",""
"Hong Kong","2 dólares","1998","","Dólar de Hong Kong","","","","KM# 64","",""
"Hong Kong","10 Dólares","1995","","Dólar de Hong Kong","","","","KM# 70","",""
"Hong Kong","20 cêntimos","1979","","Dólar de Hong Kong","","","","KM# 36","",""
"Hungria","10 filler","1991","","Forint húngaro","","","","KM# 675","",""
"Hungria","5 florins","2007","","Forint húngaro","","","","KM# 694","",""
"Hungria","10 florins","2001","","Forint húngaro","","","","KM# 695","",""
"Hungria","20 florins","2005","","Forint húngaro","","","","KM# 696","",""
"Hungria","50 florins","2013","","Forint húngaro","","","","KM# 850","",""
"Hungria","50 florins","1995","","Forint húngaro","","","","KM# 697","",""
"Hungria","100 florins","1998","","Forint húngaro","","","","KM# 721","",""
"Hungria","100 florins","1996","","Forint húngaro","","","","KM# 721","",""
"Hungria","2 filler","1973","","Forint húngaro","","","","KM# 546","",""
"Hungria","5 filler","1979","","Forint húngaro","","","","KM# 549","",""
"Hungria","1 florim","1989","","Forint húngaro","","","","KM# 575","",""
"Hungria","2 florins","1989","","Forint húngaro","","","","KM# 591","",""
"Hungria","5 florins","1979","","Forint húngaro","","","","KM# 594","",""
"Ilhas Cayman","5 cêntimos","1990","","Dólar das Ilhas Cayman","","","","KM# 88","",""
"Ilhas Salomão","2 cêntimos","2005","","Dólar das Ilhas Salomão","","","","KM# 25","",""
"Ilhas Salomão","10 cêntimos","2012","","Dólar das Ilhas Salomão","","","","KM# 235","",""
"Índia","3 paise","1971","","Rúpia indiana","","","","KM# 14.2","",""
"Índia","10 paise","1988 C","C","Rúpia indiana","Mintmark ""C"" - Ottawa","","","KM# 40.1","",""
"Índia","20 paise","1969 ♦","♦","Rúpia indiana","100º aniversário - nascimento de Mahatma Gandhi","","","KM# 42","",""
"Índia","1 rúpia","2000 ♦","♦","Rúpia indiana","Mintmark ""♦"" - Mumbai","","","KM# 92.2","",""
"Índia","5 rúpias","2015","","Rúpia indiana","W/o mintmark - Calcutta","","","KM# 399","",""
"Indonésia","50 rúpias","1999","","Rúpia indonésia","","","","KM# 60","",""
"Indonésia","100 rúpias","1999","","Rúpia indonésia","","","","KM# 61","",""
"Irão","500 rials","2006","","Rial iraniano","","","","KM# 1269","",""
"Irão","5000 rials","2013","","Rial iraniano","Santuário de Fatima Masumeh","","","KM# 1289","",""
"Irão","10 rials","1970","","Rial iraniano","","VG","","KM# 1178","",""
"Irlanda","2 cêntimos de euro","2003","","Euro","","","","KM# 33","",""
"Irlanda","5 cêntimos de euro","2008","","Euro","","","","KM# 34","",""
"Irlanda","5 cêntimos de euro","2007","","Euro","","","","KM# 34","",""
"Irlanda","10 cêntimos de euro","2008","","Euro","","","","KM# 47","",""
"Irlanda","10 cêntimos de euro","2002","","Euro","","","","KM# 35","",""
"Islândia","5 aurar","1981","","Coroa islandesa","","","","KM# 24","",""
"Islândia","10 aurar","1981","","Coroa islandesa","","","","KM# 25","",""
"Islândia","50 aurar","1986","","Coroa islandesa","","","","KM# 26a","",""
"Israel","5 agorot","1986","","Shekel israelense","","","","KM# 157","",""
"Israel","10 agorot","2007","","Shekel israelense","","","","KM# 158","",""
"Israel","½ shekel novo","1985","","Shekel israelense","","","","KM# 159","",""
"Israel","1 shekel novo","2006","","Shekel israelense","","","","KM# 160a","",""
"Israel","1 agora novo","1980","","Shekel israelense","","","","KM# 106","",""
"Israel","10 agorot novo","1983","","Shekel israelense","","","","KM# 108","",""
"Israel","½ sheqel","1981","","Shekel israelense","","","","KM# 109","",""
"Israel","1 sheqel","1981","","Shekel israelense","","","","KM# 111","",""
"Israel","10 agorot","1978","","Libra israelense","","","","KM# 26b","",""
"Itália","5 liras","1998","","Lira italiana","","","","KM# 92","",""
"Itália","5 liras","1953","","Lira italiana","","","","KM# 92","",""
"Itália","5 liras","1950","","Lira italiana","","","","KM# 89","",""
"Itália","10 liras","1997","","Lira italiana","","","","KM# 93","",""
"Itália","20 liras","1995","","Lira italiana","","","","KM# 97","",""
"Itália","20 liras","1991","","Lira italiana","","","","KM# 97","",""
"Itália","20 liras","1958","","Lira italiana","","","","KM# 97","",""
"Itália","50 liras","1978","","Lira italiana","","","","KM# 95.1","",""
"Itália","50 liras","1977","","Lira italiana","","","","KM# 95.1","",""
"Itália","50 liras","1973","","Lira italiana","","","","KM# 95.1","",""
